"family","group","ung_inf","in_tree"
"Daubayliidae","Nematoda",FALSE,TRUE
"Hedruridae","Nematoda",FALSE,TRUE
"Tetrameridae","Nematoda",FALSE,TRUE
"Heterocheilidae","Nematoda",FALSE,FALSE
"Dioctophymatidae","Nematoda",FALSE,FALSE
"Atractidae","Nematoda",FALSE,TRUE
"Kathlanidae","Nematoda",FALSE,FALSE
"Acanthocheilidae","Nematoda",FALSE,FALSE
"Goeziidae","Nematoda",FALSE,FALSE
"Crossophoridae","Nematoda",FALSE,TRUE
"Subuluridae","Nematoda",FALSE,FALSE
"Seuratidae","Nematoda",FALSE,TRUE
"Schneidernematidae","Nematoda",FALSE,TRUE
"Quimperiidae","Nematoda",FALSE,TRUE
"Soboliphymatidae","Nematoda",FALSE,TRUE
"Diaphanocephalidae","Nematoda",FALSE,TRUE
"Ancylostomidae","Nematoda",FALSE,FALSE
"Strongyidae","Nematoda",FALSE,FALSE
"Globocephalidae","Nematoda",FALSE,FALSE
"Strongylacanthidae","Nematoda",FALSE,FALSE
"Heligosomatidae","Nematoda",FALSE,FALSE
"Ollulanidae","Nematoda",FALSE,TRUE
"Myenchildae","Nematoda",FALSE,FALSE
"Araeolaimidae","Nematoda",FALSE,FALSE
"Diplopeltidae","Nematoda",FALSE,TRUE
"Camacolaimidae","Nematoda",FALSE,FALSE
"Spiriniidae","Nematoda",FALSE,FALSE
"Meyliidae","Nematoda",FALSE,TRUE
"Greeffiellidae","Nematoda",FALSE,FALSE
"Synochidae","Nematoda",FALSE,FALSE
"Rhaptothyreidae","Nematoda",FALSE,TRUE
"Soboliphymidae","Nematoda",FALSE,FALSE
"Aproctidae","Nematoda",FALSE,FALSE
"Ungellidae","Nematoda",FALSE,TRUE
"Scolecophilidae","Nematoda",FALSE,TRUE
"Creagrocercidae","Nematoda",FALSE,TRUE
"Mesidionematidae","Nematoda",FALSE,TRUE
"Homungellidae","Nematoda",FALSE,TRUE
"Dracunculidae","Nematoda",FALSE,TRUE
"Micropleudidae","Nematoda",FALSE,FALSE
"Polystomatidae","Platyhelminthes",TRUE,TRUE
"Hasstilesiidae","Platyhelminthes",TRUE,TRUE
"Schistosomatidae","Platyhelminthes",TRUE,TRUE
"Echinostomatidae","Platyhelminthes",TRUE,TRUE
"Fasciolidae","Platyhelminthes",TRUE,TRUE
"Paramphistomidae","Platyhelminthes",TRUE,TRUE
"Balanorchiidae","Platyhelminthes",TRUE,FALSE
"Brumptiidae","Platyhelminthes",TRUE,FALSE
"Choerocotyloididae","Platyhelminthes",TRUE,FALSE
"Cladorchiidae","Platyhelminthes",TRUE,TRUE
"Gastrodiscidae","Platyhelminthes",TRUE,TRUE
"Gastrothylacidae","Platyhelminthes",TRUE,TRUE
"Olveriidae","Platyhelminthes",TRUE,TRUE
"Stephanopharyngidae","Platyhelminthes",TRUE,TRUE
"Zygocotylidae","Platyhelminthes",TRUE,FALSE
"Notocotylidae","Platyhelminthes",TRUE,TRUE
"Opisthorchiidae","Platyhelminthes",TRUE,TRUE
"Heterophyidae","Platyhelminthes",TRUE,TRUE
"Dicrocoeliidae","Platyhelminthes",TRUE,TRUE
"Paragonimidae","Platyhelminthes",TRUE,FALSE
"Diphyllobothridae","Platyhelminthes",TRUE,FALSE
"Anoplocephalinae","Platyhelminthes",TRUE,FALSE
"Linstowiinae","Platyhelminthes",TRUE,FALSE
"Thysanosomatinae","Platyhelminthes",TRUE,FALSE
"Inermicapsiferinae","Platyhelminthes",TRUE,FALSE
"Davaineidae","Platyhelminthes",TRUE,TRUE
"Taeniidae","Platyhelminthes",TRUE,TRUE
"Catenulidae","Platyhelminthes",FALSE,TRUE
"Chordariidae","Platyhelminthes",FALSE,TRUE
"Retronectidae","Platyhelminthes",FALSE,TRUE
"Stenostomidae","Platyhelminthes",FALSE,TRUE
"Tyrrheniellidae","Platyhelminthes",FALSE,TRUE
"Leimacopsidae","Platyhelminthes",FALSE,FALSE
"Not assigned","Platyhelminthes",FALSE,FALSE
"Bothrioplanidae","Platyhelminthes",FALSE,TRUE
"Aberrapecidae","Platyhelminthes",FALSE,TRUE
"Acoleidae","Platyhelminthes",FALSE,TRUE
"Acrobothriidae","Platyhelminthes",FALSE,TRUE
"Amabiliidae","Platyhelminthes",FALSE,TRUE
"Amphilinidae","Platyhelminthes",FALSE,TRUE
"Anthocephaliidae","Platyhelminthes",FALSE,TRUE
"Balanobothriidae","Platyhelminthes",FALSE,FALSE
"Bothriocephalidae","Platyhelminthes",FALSE,TRUE
"Calliobothriidae","Platyhelminthes",FALSE,FALSE
"Capingentidae","Platyhelminthes",FALSE,TRUE
"Caryophyllaeidae","Platyhelminthes",FALSE,TRUE
"Cathetocephalidae","Platyhelminthes",FALSE,TRUE
"Cephalobothriidae","Platyhelminthes",FALSE,TRUE
"Cephalochlamydidae","Platyhelminthes",FALSE,TRUE
"Chimaerocestidae","Platyhelminthes",FALSE,TRUE
"Dilepididae","Platyhelminthes",FALSE,TRUE
"Dioecotaeniidae","Platyhelminthes",FALSE,TRUE
"Diphyllobothriidae","Platyhelminthes",FALSE,TRUE
"Disculicepitidae","Platyhelminthes",FALSE,FALSE
"Echeneibothriidae","Platyhelminthes",FALSE,TRUE
"Echinobothriidae","Platyhelminthes",FALSE,TRUE
"Echinophallidae","Platyhelminthes",FALSE,TRUE
"Eniochobothriidae","Platyhelminthes",FALSE,FALSE
"Escherbothriidae","Platyhelminthes",FALSE,TRUE
"Gastrolecithidae","Platyhelminthes",FALSE,FALSE
"Gryporhynchidae","Platyhelminthes",FALSE,TRUE
"Gyrocotylidae","Platyhelminthes",FALSE,TRUE
"Haplobothriidae","Platyhelminthes",FALSE,TRUE
"Hymenolepididae","Platyhelminthes",FALSE,TRUE
"Lecanicephalidae","Platyhelminthes",FALSE,TRUE
"Litobothriidae","Platyhelminthes",FALSE,TRUE
"Nippotaeniidae","Platyhelminthes",FALSE,TRUE
"Onchobothriidae","Platyhelminthes",FALSE,TRUE
"Paraberrapecidae","Platyhelminthes",FALSE,FALSE
"Phyllobothriidae","Platyhelminthes",FALSE,TRUE
"Polypocephalidae","Platyhelminthes",FALSE,TRUE
"Progynotaeniidae","Platyhelminthes",FALSE,TRUE
"Prosobothriidae","Platyhelminthes",FALSE,TRUE
"Proteocephalidae","Platyhelminthes",FALSE,TRUE
"Rhinebothriidae","Platyhelminthes",FALSE,TRUE
"Rhoptrobothriidae","Platyhelminthes",FALSE,FALSE
"Schistotaeniidae","Platyhelminthes",FALSE,TRUE
"Schizochoeridae","Platyhelminthes",FALSE,TRUE
"Serendipidae","Platyhelminthes",FALSE,FALSE
"Shindeobothriiidae","Platyhelminthes",FALSE,FALSE
"Solenophoridae","Platyhelminthes",FALSE,FALSE
"Spathebothriidae","Platyhelminthes",FALSE,TRUE
"Tetrabothriidae","Platyhelminthes",FALSE,TRUE
"Tetragonocephalidae","Platyhelminthes",FALSE,TRUE
"Triaenophoridae","Platyhelminthes",FALSE,TRUE
"Zanobatocestidae","Platyhelminthes",FALSE,TRUE
"Dolichomacrostomidae","Platyhelminthes",FALSE,TRUE
"Microstomidae","Platyhelminthes",FALSE,TRUE
"Fecampiidae","Platyhelminthes",FALSE,FALSE
"Notenteridae","Platyhelminthes",FALSE,FALSE
"Piscinquilinidae","Platyhelminthes",FALSE,FALSE
"Urastomidae","Platyhelminthes",FALSE,TRUE
"Gnosonesimidae","Platyhelminthes",FALSE,TRUE
"Prorhynchidae","Platyhelminthes",FALSE,TRUE
"Acanthocotylidae","Platyhelminthes",FALSE,TRUE
"Allodiscocotylidae","Platyhelminthes",FALSE,TRUE
"Allopyragraphoridae","Platyhelminthes",FALSE,TRUE
"Amphibdellatidae","Platyhelminthes",FALSE,TRUE
"Anchorophoridae","Platyhelminthes",FALSE,TRUE
"Ancylodiscoididae","Platyhelminthes",FALSE,TRUE
"Ancyrocephalidae","Platyhelminthes",FALSE,TRUE
"Anoplodiscidae","Platyhelminthes",FALSE,TRUE
"Axinidae","Platyhelminthes",FALSE,TRUE
"Bothitrematidae","Platyhelminthes",FALSE,TRUE
"Bychowskicotylidae","Platyhelminthes",FALSE,TRUE
"Calceostomatidae","Platyhelminthes",FALSE,TRUE
"Capsalidae","Platyhelminthes",FALSE,TRUE
"Cemocotylidae","Platyhelminthes",FALSE,FALSE
"Chauhaneidae","Platyhelminthes",FALSE,TRUE
"Chimaericolidae","Platyhelminthes",FALSE,TRUE
"Dactylogyridae","Platyhelminthes",FALSE,TRUE
"Diclidophoridae","Platyhelminthes",FALSE,TRUE
"Diclybothriidae","Platyhelminthes",FALSE,TRUE
"Dionchidae","Platyhelminthes",FALSE,TRUE
"Diplectanidae","Platyhelminthes",FALSE,TRUE
"Diplozoidae","Platyhelminthes",FALSE,TRUE
"Discocotylidae","Platyhelminthes",FALSE,TRUE
"Enoplocotylidae","Platyhelminthes",FALSE,TRUE
"Fridericianellidae","Platyhelminthes",FALSE,TRUE
"Gastrocotylidae","Platyhelminthes",FALSE,TRUE
"Gotocotylidae","Platyhelminthes",FALSE,TRUE
"Gyrodactylidae","Platyhelminthes",FALSE,TRUE
"Heteraxinidae","Platyhelminthes",FALSE,TRUE
"Heteromicrocotylidae","Platyhelminthes",FALSE,TRUE
"Hexabothriidae","Platyhelminthes",FALSE,TRUE
"Hexostomatidae","Platyhelminthes",FALSE,TRUE
"Loimoidae","Platyhelminthes",FALSE,TRUE
"Macrovalvitrematidae","Platyhelminthes",FALSE,TRUE
"Mazocraeidae","Platyhelminthes",FALSE,TRUE
"Mazoplectidae","Platyhelminthes",FALSE,TRUE
"Megamicrocotylidae","Platyhelminthes",FALSE,TRUE
"Microbothriidae","Platyhelminthes",FALSE,TRUE
"Microcotylidae","Platyhelminthes",FALSE,FALSE
"Monaxinoididae","Platyhelminthes",FALSE,TRUE
"Monocotylidae","Platyhelminthes",FALSE,TRUE
"Montchadskyellidae","Platyhelminthes",FALSE,TRUE
"Neocalceostomatidae","Platyhelminthes",FALSE,TRUE
"Neotetraonchidae","Platyhelminthes",FALSE,TRUE
"Octolabeidae","Platyhelminthes",FALSE,TRUE
"Octomacridae","Platyhelminthes",FALSE,TRUE
"Paramonaxinidae","Platyhelminthes",FALSE,TRUE
"Plectanocotylidae","Platyhelminthes",FALSE,TRUE
"Protogyrodactylidae","Platyhelminthes",FALSE,FALSE
"Protomicrocotylidae","Platyhelminthes",FALSE,TRUE
"Pseudodactylogyridae","Platyhelminthes",FALSE,TRUE
"Pseudodiclidophoridae","Platyhelminthes",FALSE,TRUE
"Pterinotrematidae","Platyhelminthes",FALSE,TRUE
"Pyragraphoridae","Platyhelminthes",FALSE,TRUE
"Rhinecotylidae","Platyhelminthes",FALSE,FALSE
"Tetraonchidae","Platyhelminthes",FALSE,TRUE
"Tetraonchoididae","Platyhelminthes",FALSE,TRUE
"Thoracocotylidae","Platyhelminthes",FALSE,FALSE
"Udonellidae","Platyhelminthes",FALSE,TRUE
"Urogyridae","Platyhelminthes",FALSE,FALSE
"Genostomatidae","Platyhelminthes",FALSE,TRUE
"Haplopharyngidae","Platyhelminthes",FALSE,TRUE
"Macrostomidae","Platyhelminthes",FALSE,TRUE
"Anocellidae","Platyhelminthes",FALSE,TRUE
"Apidioplanidae","Platyhelminthes",FALSE,TRUE
"Dicteroidae","Platyhelminthes",FALSE,FALSE
"Didangiidae","Platyhelminthes",FALSE,TRUE
"Diposthidae","Platyhelminthes",FALSE,TRUE
"Enantiidae","Platyhelminthes",FALSE,TRUE
"Euplanidae","Platyhelminthes",FALSE,TRUE
"Latocestidae","Platyhelminthes",FALSE,TRUE
"Limnostylochidae","Platyhelminthes",FALSE,TRUE
"Stylochocestidae","Platyhelminthes",FALSE,TRUE
"Multipeniatidae","Platyhelminthes",FALSE,TRUE
"Plagiostomidae","Platyhelminthes",FALSE,TRUE
"Protomonotresidae","Platyhelminthes",FALSE,TRUE
"Pseudostomidae","Platyhelminthes",FALSE,TRUE
"Scleraulophoridae","Platyhelminthes",FALSE,FALSE
"Archimonocelidae","Platyhelminthes",FALSE,FALSE
"Calviriidae","Platyhelminthes",FALSE,TRUE
"Ciliopharyngiellidae","Platyhelminthes",FALSE,FALSE
"Coelogynoporidae","Platyhelminthes",FALSE,TRUE
"Meidiamidae","Platyhelminthes",FALSE,TRUE
"Monocelididae","Platyhelminthes",FALSE,TRUE
"Monotoplanidae","Platyhelminthes",FALSE,TRUE
"Nematoplanidae","Platyhelminthes",FALSE,TRUE
"Otomesostomatidae","Platyhelminthes",FALSE,TRUE
"Otoplanidae","Platyhelminthes",FALSE,TRUE
"Polystyliphoridae","Platyhelminthes",FALSE,TRUE
"Acholadidae","Platyhelminthes",FALSE,TRUE
"Aculeorhynchidae","Platyhelminthes",FALSE,TRUE
"Bertiliellidae","Platyhelminthes",FALSE,TRUE
"Byrsophlebidae","Platyhelminthes",FALSE,TRUE
"Cheliplanidae","Platyhelminthes",FALSE,TRUE
"Cicerinidae","Platyhelminthes",FALSE,TRUE
"Crassicollidae","Platyhelminthes",FALSE,TRUE
"Cystiplanidae","Platyhelminthes",FALSE,TRUE
"Cytocystididae","Platyhelminthes",FALSE,FALSE
"Dalyelliidae","Platyhelminthes",FALSE,TRUE
"Diascorhynchidae","Platyhelminthes",FALSE,TRUE
"Gnathorhynchidae","Platyhelminthes",FALSE,TRUE
"Graffillidae","Platyhelminthes",FALSE,TRUE
"Hypoblepharinidae","Platyhelminthes",FALSE,FALSE
"Karkinorhynchidae","Platyhelminthes",FALSE,TRUE
"Koinocystididae","Platyhelminthes",FALSE,TRUE
"Kytorhynchidae","Platyhelminthes",FALSE,TRUE
"Luridae","Platyhelminthes",FALSE,TRUE
"Nannorhynchididae","Platyhelminthes",FALSE,FALSE
"Nematorhynchidae","Platyhelminthes",FALSE,TRUE
"Placorhynchidae","Platyhelminthes",FALSE,TRUE
"Polycystididae","Platyhelminthes",FALSE,TRUE
"Promesostomidae","Platyhelminthes",FALSE,TRUE
"Provorticidae","Platyhelminthes",FALSE,TRUE
"Psammorhynchidae","Platyhelminthes",FALSE,TRUE
"Pterastericolidae","Platyhelminthes",FALSE,TRUE
"Rhynchokarlingiidae","Platyhelminthes",FALSE,TRUE
"Schizorhynchidae","Platyhelminthes",FALSE,TRUE
"Solenopharyngidae","Platyhelminthes",FALSE,TRUE
"Trigonostomidae","Platyhelminthes",FALSE,TRUE
"Typhloplanidae","Platyhelminthes",FALSE,TRUE
"Umagillidae","Platyhelminthes",FALSE,TRUE
"Stichocotylidae","Platyhelminthes",FALSE,TRUE
"Dimarcusidae","Platyhelminthes",FALSE,TRUE
"Rhynchodemidae","Platyhelminthes",FALSE,FALSE
"Eutetrarhynchidae","Platyhelminthes",FALSE,TRUE
"Mixodigmatidae","Platyhelminthes",FALSE,TRUE
"Progrillotiidae","Platyhelminthes",FALSE,TRUE
"Rhinoptericolidae","Platyhelminthes",FALSE,TRUE
"Aporhynchidae","Platyhelminthes",FALSE,TRUE
"Gilquiniidae","Platyhelminthes",FALSE,TRUE
"Gymnorhynchidae","Platyhelminthes",FALSE,TRUE
"Rhopalothylacidae","Platyhelminthes",FALSE,TRUE
"Lacistorhynchidae","Platyhelminthes",FALSE,TRUE
"Pterobothriidae","Platyhelminthes",FALSE,TRUE
"Otobothriidae","Platyhelminthes",FALSE,TRUE
"Paranybeliniidae","Platyhelminthes",FALSE,TRUE
"Pseudotobothriidae","Platyhelminthes",FALSE,TRUE
"Sphyriocephalidae","Platyhelminthes",FALSE,TRUE
"Tentaculariidae","Platyhelminthes",FALSE,TRUE
"Cestoplanidae","Platyhelminthes",FALSE,TRUE
"Amyellidae","Platyhelminthes",FALSE,TRUE
"Boniniidae","Platyhelminthes",FALSE,TRUE
"Chromoplanidae","Platyhelminthes",FALSE,TRUE
"Theamatidae","Platyhelminthes",FALSE,TRUE
"Cryptocelidae","Platyhelminthes",FALSE,TRUE
"Discocelididae","Platyhelminthes",FALSE,FALSE
"Plehniidae","Platyhelminthes",FALSE,TRUE
"Polyposthiidae","Platyhelminthes",FALSE,TRUE
"Ditremageniidae","Platyhelminthes",FALSE,TRUE
"Euryleptidae","Platyhelminthes",FALSE,TRUE
"Discocelidae","Platyhelminthes",FALSE,TRUE
"Candimboididae","Platyhelminthes",FALSE,TRUE
"Faubelidae","Platyhelminthes",FALSE,FALSE
"Gnesiocerotidae","Platyhelminthes",FALSE,TRUE
"Ilyplanidae","Platyhelminthes",FALSE,TRUE
"Leptoplanidae","Platyhelminthes",FALSE,TRUE
"Mucroplanidae","Platyhelminthes",FALSE,TRUE
"Notoplanidae","Platyhelminthes",FALSE,TRUE
"Palauidae","Platyhelminthes",FALSE,TRUE
