family,group,ung_inf,otl_name,trans_route,in_tree,otl_name_red
Rhabdolaimidae,Nematoda,FALSE,Rhabdolaimidae,not ungulate parasites,TRUE,Rhabdolaimidae
Teratocephalidae,Nematoda,FALSE,Teratocephalidae,not ungulate parasites,TRUE,Teratocephalidae
Tripyloididae,Nematoda,FALSE,Tripyloididae,not ungulate parasites,TRUE,Tripyloididae
Ceramonematidae,Nematoda,FALSE,Ceramonematidae,not ungulate parasites,TRUE,Ceramonematidae
Choniolaimidae,Nematoda,FALSE,Choanolaimidae,not ungulate parasites,TRUE,Choanolaimidae
Chromadoridae,Nematoda,FALSE,Chromadoridae,not ungulate parasites,TRUE,Chromadoridae
Comesomatidae,Nematoda,FALSE,Comesomatidae,not ungulate parasites,TRUE,Comesomatidae
Cyatholaimidae,Nematoda,FALSE,Cyatholaimidae,not ungulate parasites,TRUE,Cyatholaimidae
Desmodoridae,Nematoda,FALSE,Desmodoridae,not ungulate parasites,TRUE,Desmodoridae
Draconematidae,Nematoda,FALSE,Draconematidae,not ungulate parasites,TRUE,Draconematidae
Epsilonematidae,Nematoda,FALSE,Epsilonematidae,not ungulate parasites,TRUE,Epsilonematidae
Microlaimidae,Nematoda,FALSE,Microlaimidae,not ungulate parasites,TRUE,Microlaimidae
Monoposthiidae,Nematoda,FALSE,Monoposthiidae,not ungulate parasites,TRUE,Monoposthiidae
Richtersiidae,Nematoda,FALSE,Richtersiidae,not ungulate parasites,FALSE,Richtersiidae
Selachinematidae,Nematoda,FALSE,Selachinematidae,not ungulate parasites,TRUE,Selachinematidae
Xennellidae,Nematoda,FALSE,Xennellidae,not ungulate parasites,TRUE,Xennellidae
Desmoscolecidae,Nematoda,FALSE,Desmoscolecidae,not ungulate parasites,TRUE,Desmoscolecidae
Actinolaimidae,Nematoda,FALSE,Actinolaimidae,not ungulate parasites,TRUE,Actinolaimidae
Alaimidae,Nematoda,FALSE,Alaimidae,not ungulate parasites,TRUE,Alaimidae
Anatonchidae,Nematoda,FALSE,Anatonchidae,not ungulate parasites,TRUE,Anatonchidae
Aporcelaimidae,Nematoda,FALSE,Aporcelaimidae,not ungulate parasites,TRUE,Aporcelaimidae
Belondiridae,Nematoda,FALSE,Belondiridae,not ungulate parasites,TRUE,Belondiridae
Campgdoridae,Nematoda,FALSE,Campgdoridae_(merged_with_Dorylaimida),not ungulate parasites,FALSE,Campgdoridae
Carcharolaimidae,Nematoda,FALSE,Carcharolaimidae,not ungulate parasites,FALSE,Carcharolaimidae
Cobbonchidae,Nematoda,FALSE,Cobbonchidae,not ungulate parasites,FALSE,Cobbonchidae
Diphterophoridae,Nematoda,FALSE,Diphterophoridae,not ungulate parasites,TRUE,Diphterophoridae
Dorylaimidae,Nematoda,FALSE,Dorylaimidae,not ungulate parasites,TRUE,Dorylaimidae
Falcihastidae,Nematoda,FALSE,Falcihastidae,not ungulate parasites,TRUE,Falcihastidae
Iotonchusidae,Nematoda,FALSE,Iotonchusidae_(merged_with_Dorylaimida),not ungulate parasites,FALSE,Iotonchusidae
Leptonchidae,Nematoda,FALSE,Leptonchidae,not ungulate parasites,TRUE,Leptonchidae
Longidoridae,Nematoda,FALSE,Longidoridae,not ungulate parasites,TRUE,Longidoridae
Mononchidae,Nematoda,FALSE,Mononchidae,not ungulate parasites,TRUE,Mononchidae
Mononchulidae,Nematoda,FALSE,Mononchulidae,not ungulate parasites,TRUE,Mononchulidae
Nygolaimellidae,Nematoda,FALSE,Nygolaimellidae,not ungulate parasites,TRUE,Nygolaimellidae
Nygolaimidae,Nematoda,FALSE,Nygolaimidae,not ungulate parasites,TRUE,Nygolaimidae
Opailaimidae,Nematoda,FALSE,Opailaimidae,not ungulate parasites,TRUE,Opailaimidae
Oxydiridae,Nematoda,FALSE,Oxydiridae_(merged_with_Belondiridae),not ungulate parasites,FALSE,Oxydiridae
Qudsianematidae,Nematoda,FALSE,Qudsianematidae,not ungulate parasites,TRUE,Qudsianematidae
Trachypleurosidae,Nematoda,FALSE,Trachypleurosidae,not ungulate parasites,TRUE,Trachypleurosidae
Tylencholaimellidae,Nematoda,FALSE,Tylencholaimellidae,not ungulate parasites,TRUE,Tylencholaimellidae
Tylencholaimidae,Nematoda,FALSE,Tylencholaimidae,not ungulate parasites,TRUE,Tylencholaimidae
Anoplostomatidae,Nematoda,FALSE,Anoplostomatidae,not ungulate parasites,TRUE,Anoplostomatidae
Anticomidae,Nematoda,FALSE,Anticomidae,not ungulate parasites,TRUE,Anticomidae
Cryptonchidae,Nematoda,FALSE,Cryptonchidae,not ungulate parasites,TRUE,Cryptonchidae
Enchelidiidae,Nematoda,FALSE,Enchelidiidae,not ungulate parasites,TRUE,Enchelidiidae
Enoplidae,Nematoda,FALSE,Enoplidae,not ungulate parasites,TRUE,Enoplidae
Eurystominidae,Nematoda,FALSE,Eurystominidae_(merged_with_Enchelidiidae),not ungulate parasites,FALSE,Eurystominidae
Ironidae,Nematoda,FALSE,Ironidae,not ungulate parasites,TRUE,Ironidae
Lauratonematidae,Nematoda,FALSE,Lauratonematidae,not ungulate parasites,TRUE,Lauratonematidae
Leptosomatidae,Nematoda,FALSE,Leptosomatidae,not ungulate parasites,TRUE,Leptosomatidae
Oncholaimidae,Nematoda,FALSE,Oncholaimidae,not ungulate parasites,TRUE,Oncholaimidae
Onchulidae,Nematoda,FALSE,Onchulidae,not ungulate parasites,FALSE,Onchulidae
Oxystominidae,Nematoda,FALSE,Oxystominidae,not ungulate parasites,TRUE,Oxystominidae
Phanodermatidae,Nematoda,FALSE,Phanodermatidae,not ungulate parasites,TRUE,Phanodermatidae
Prismatolaimidae,Nematoda,FALSE,Prismatolaimidae,not ungulate parasites,TRUE,Prismatolaimidae
Rhabdodemaniidae,Nematoda,FALSE,Rhabdodemaniidae,not ungulate parasites,TRUE,Rhabdodemaniidae
Symplocostomatidae,Nematoda,FALSE,Symplocostomatidae_(inconsistent_in_Enoplida),not ungulate parasites,FALSE,Symplocostomatidae
Thoracostomopsidae,Nematoda,FALSE,Thoracostomopsidae,not ungulate parasites,TRUE,Thoracostomopsidae
Trefusiidae,Nematoda,FALSE,Trefusiidae,not ungulate parasites,TRUE,Trefusiidae
Triodontolaimidae,Nematoda,FALSE,Triodontolaimidae,not ungulate parasites,FALSE,Triodontolaimidae
Tripylidae,Nematoda,FALSE,Tripylidae,not ungulate parasites,TRUE,Tripylidae
Mermithidae,Nematoda,FALSE,Mermithidae,not ungulate parasites,TRUE,Mermithidae
Aponchiidae,Nematoda,FALSE,Aponchiidae,not ungulate parasites,FALSE,Aponchiidae
Linhomoeidae,Nematoda,FALSE,Linhomoeidae,not ungulate parasites,TRUE,Linhomoeidae
Monhysteridae,Nematoda,FALSE,Monhysteridae,not ungulate parasites,TRUE,Monhysteridae
Scaptrellidae,Nematoda,FALSE,Scaptrellidae_(merged_with_Xyalidae),not ungulate parasites,FALSE,Scaptrellidae
Siphonolaimidae,Nematoda,FALSE,Siphonolaimidae,not ungulate parasites,TRUE,Siphonolaimidae
Sphaerolaimidae,Nematoda,FALSE,Sphaerolaimidae,not ungulate parasites,TRUE,Sphaerolaimidae
Xyalidae,Nematoda,FALSE,Xyalidae,not ungulate parasites,TRUE,Xyalidae
Cystoopsidae,Nematoda,FALSE,Cystoopsidae,not ungulate parasites,TRUE,Cystoopsidae
Diphtherophoridae,Nematoda,FALSE,Diphtherophoridae,not ungulate parasites,TRUE,Diphtherophoridae
Trichodoridae,Nematoda,FALSE,Trichodoridae,not ungulate parasites,TRUE,Trichodoridae
Aphelenchidae,Nematoda,FALSE,Aphelenchidae,not ungulate parasites,TRUE,Aphelenchidae
Aphelenchoididae,Nematoda,FALSE,Aphelenchoididae,not ungulate parasites,TRUE,Aphelenchoididae
Paraphelenchidae,Nematoda,FALSE,Paraphelenchidae,not ungulate parasites,FALSE,Paraphelenchidae
Anisakidae,Nematoda,FALSE,Anisakidae,not ungulate parasites,TRUE,Anisakidae
Ascaridiidae,Nematoda,FALSE,Ascaridiidae,not ungulate parasites,TRUE,Ascaridiidae
Cosmocercidae,Nematoda,FALSE,Cosmocercidae,not ungulate parasites,TRUE,Cosmocercidae
Cucullanidae,Nematoda,FALSE,Cucullanidae,not ungulate parasites,TRUE,Cucullanidae
Heterakidae,Nematoda,FALSE,Heterakidae,not ungulate parasites,TRUE,Heterakidae
Maupasinidae,Nematoda,FALSE,Maupasinidae,not ungulate parasites,FALSE,Maupasinidae
Cylindrocorporidae,Nematoda,FALSE,Cylindrocorporidae,not ungulate parasites,TRUE,Cylindrocorporidae
Diplogasteridae,Nematoda,FALSE,Diplogasteridae,not ungulate parasites,TRUE,Diplogasteridae
Diplogasteroididae,Nematoda,FALSE,Diplogasteroididae,not ungulate parasites,TRUE,Diplogasteroididae
Neodiplogasteridae,Nematoda,FALSE,Neodiplogasteridae,not ungulate parasites,TRUE,Neodiplogasteridae
Odontopharyngidae,Nematoda,FALSE,Odontopharyngidae,not ungulate parasites,FALSE,Odontopharyngidae
Pharyngodonidae,Nematoda,FALSE,Pharyngodonidae,not ungulate parasites,TRUE,Pharyngodonidae
Rhigonematidae,Nematoda,FALSE,Rhigonematidae,not ungulate parasites,TRUE,Rhigonematidae
Thelastomatidae,Nematoda,FALSE,Thelastomatidae,not ungulate parasites,TRUE,Thelastomatidae
Agfidae,Nematoda,FALSE,Agfidae,not ungulate parasites,TRUE,Agfidae
Alirhabditidae,Nematoda,FALSE,Alirhabditidae,not ungulate parasites,TRUE,Alirhabditidae
Alloionematidae,Nematoda,FALSE,Alloionematidae,not ungulate parasites,TRUE,Alloionematidae
Brevibuccidae,Nematoda,FALSE,Brevibuccidae,not ungulate parasites,TRUE,Brevibuccidae
Bunonematidae,Nematoda,FALSE,Bunonematidae,not ungulate parasites,TRUE,Bunonematidae
Cephalobidae,Nematoda,FALSE,Cephalobidae,not ungulate parasites,TRUE,Cephalobidae
Elaphonematidae,Nematoda,FALSE,Elaphonematidae,not ungulate parasites,TRUE,Elaphonematidae
Heterohabditidae,Nematoda,FALSE,Heterohabditidae,not ungulate parasites,TRUE,Heterohabditidae
Heterorhabditidae,Nematoda,FALSE,Heterorhabditidae,not ungulate parasites,TRUE,Heterorhabditidae
Odontorhabditidae,Nematoda,FALSE,Odontorhabditidae_(merged_with_Rhabditidae),not ungulate parasites,FALSE,Odontorhabditidae
Panagrolaimidae,Nematoda,FALSE,Panagrolaimidae,not ungulate parasites,TRUE,Panagrolaimidae
Pangrolaimidae,Nematoda,FALSE,Pangrolaimidae_(merged_with_Panagrolaimidae),not ungulate parasites,FALSE,Pangrolaimidae
Pterygorhabditidae,Nematoda,FALSE,Pterygorhabditidae,not ungulate parasites,FALSE,Pterygorhabditidae
