"binomial","genus","length","body.mass","db"
"Abacetus aeneus ","Abacetus",2,NA,"carabid"
"Abacetus antoinei","Abacetus",6,NA,"carabid"
"Abacetus quadripustulatus","Abacetus",5,NA,"carabid"
"Abacetus salzmanni","Abacetus",5.5,NA,"carabid"
"Abatus cavernosus","Abatus",45,NA,"brose"
"Abatus curvidens","Abatus",36,NA,"brose"
"Abatus nimrodi","Abatus",50,NA,"brose"
"Abatus shackletoni","Abatus",40,NA,"brose"
"Abax","Abax",NA,0.2414,"ehnes"
"Abax arerae","Abax",15,NA,"carabid"
"Abax ater","Abax",NA,0.24469,"irlich"
"Abax baenningeri","Abax",14.5,NA,"carabid"
"Abax beckenhauptii","Abax",15.5,NA,"carabid"
"Abax carinatus","Abax",15.5,NA,"carabid"
"Abax continuus ","Abax",16.5,NA,"carabid"
"Abax ecchelii","Abax",15.5,NA,"carabid"
"Abax exaratus ","Abax",14.5,NA,"carabid"
"Abax fiorii","Abax",19.5,NA,"carabid"
"Abax oblongus ","Abax",15,NA,"carabid"
"Abax ovalis","Abax",13,NA,"carabid"
"Abax ovalis","Abax",NA,0.1955,"ehnes"
"Abax paralellepipedus","Abax",NA,0.267048163265306,"ehnes"
"Abax parallelepipedus","Abax",19,NA,"carabid"
"Abax parallelus","Abax",15.5,NA,"carabid"
"Abax parellelopipedus","Abax",18.5,NA,"brose"
"Abax pyrenaeus ","Abax",18,NA,"carabid"
"Abax schueppeli","Abax",21.5,NA,"carabid"
"Abax sexualis","Abax",18,NA,"carabid"
"Abax springeri","Abax",13.5,NA,"carabid"
"Abax teriolensis","Abax",13,NA,"carabid"
"Abditomys latidens","Abditomys",224,268.09,"Pantheria"
"Abeomelomys sevia","Abeomelomys",127.29,54.88,"Pantheria"
"Ablabesmyia sp.","Ablabesmyia",4.15,6.0596942e-05,"lw.misc"
"Ablepharus kitaibelii","Ablepharus",32.65,0.6,"jzo"
"Abramis ballerus","Ballerus",200,119.171298462837,"fishbase"
"Abramis bjoerkna","Blicca",200,176.989789826365,"fishbase"
"Abramis brama","Abramis",NA,3305.5,"anAge"
"Abramis brama","Abramis",250,322.220476700168,"fishbase"
"Abramis sapa","Ballerus",150,72.1116125061959,"fishbase"
"Abrawayaomys ruschii","Abrawayaomys",NA,62.99,"Pantheria"
"Abrocoma bennettii","Abrocoma",NA,265.5,"anAge"
"Abrocoma bennettii","Abrocoma",NA,250.5,"Pantheria"
"Abrocoma boliviensis","Abrocoma",NA,158,"Pantheria"
"Abrocoma cinerea","Abrocoma",NA,193.64,"Pantheria"
"Abrothrix andinus","Abrothrix",NA,24.91,"Pantheria"
"Abrothrix illuteus","Abrothrix",NA,47.79,"Pantheria"
"Abrothrix jelskii","Abrothrix",NA,34.5,"Pantheria"
"Abrothrix lanosus","Abrothrix",NA,27.83,"Pantheria"
"Abrothrix longipilis","Abrothrix",NA,38.86,"Pantheria"
"Abrothrix olivaceus","Abrothrix",96.69,24.52,"Pantheria"
"Abrothrix sanborni","Abrothrix",NA,24.7,"Pantheria"
"Abyssocucumis liouvillei","Abyssocucumis",60,NA,"brose"
"Abyssorchomene nodimanus","Abyssorchomene",20,NA,"brose"
"Abyssorchomene plebs","Abyssorchomene",25,NA,"brose"
"Abyssorchomene rossi","Abyssorchomene",40,NA,"brose"
"Acanthagenys rufogularis","Acanthagenys",NA,44.25,"avian"
"Acanthinula aculeata","Acanthinula",NA,0.000433,"brose"
"Acanthisitta chloris","Acanthisitta",NA,6.3,"avian"
"Acanthisitta chloris","Acanthisitta",NA,6.918309709,"sibly"
"Acanthiza chrysorrhoa","Acanthiza",NA,9.6,"avian"
"Acanthiza ewingii","Acanthiza",NA,6.95,"avian"
"Acanthiza inornata","Acanthiza",NA,7.05,"avian"
"Acanthiza iredalei","Acanthiza",NA,5.75,"avian"
"Acanthiza katherina","Acanthiza",NA,6.75,"avian"
"Acanthiza lineata","Acanthiza",NA,7.5,"avian"
"Acanthiza nana","Acanthiza",NA,6.4,"avian"
"Acanthiza pusilla","Acanthiza",NA,6.95,"avian"
"Acanthiza pusilla apicalis","Acanthiza",NA,7,"avian"
"Acanthiza reguloides","Acanthiza",NA,7.55,"avian"
"Acanthiza robustirostris","Acanthiza",NA,6.05,"avian"
"Acanthiza uropygialis","Acanthiza",NA,6.35,"avian"
"Acanthocercus atricollis","Acanthocercus",145,121.5,"jzo"
"Acanthocercus cyanogaster","Acanthocercus",107,39,"jzo"
"Acanthocercus phillipsii","Acanthocercus",67,8.6,"jzo"
"Acanthocyclops vernalis","Acanthocyclops",1.25,NA,"brose"
"Acanthodactylus beershebensis","Acanthodactylus",90,19,"jzo"
"Acanthodactylus boskianus","Acanthodactylus",60.46,8.3,"jzo"
"Acanthodactylus erythrurus","Acanthodactylus",65.6592857142857,NA,"grimm"
"Acanthodactylus erythrurus","Acanthodactylus",70.49,8.7,"jzo"
"Acanthodactylus maculatus","Acanthodactylus",62,7.5,"jzo"
"Acanthodactylus opheodurus","Acanthodactylus",62,4,"jzo"
"Acanthodactylus pardalis","Acanthodactylus",59.4,7.4,"jzo"
"Acanthodactylus schmidti","Acanthodactylus",90.2,14.5,"jzo"
"Acanthodactylus schreiberi","Acanthodactylus",80,28,"jzo"
"Acanthodactylus scutellatus","Acanthodactylus",85,12,"jzo"
"Acanthoderes circumflexa","Acanthoderes",NA,0.139,"ehnes"
"Acanthodiaptomus pacificus","Acanthodiaptomus",0.865,1.094555013e-05,"lw.misc"
"Acanthopagrus australis","Acanthopagrus",NA,2475,"anAge"
"Acanthopagrus berda","Acanthopagrus",244.5,647,"brose"
"Acanthopagrus butcheri","Acanthopagrus",NA,2200,"anAge"
"Acanthophis antarcticus","Acanthophis",567,252,"snakes"
"Acanthophis pyrrhus","Acanthophis",585,148,"snakes"
"Acanthophorus confinis","Acanthophorus",NA,3.49,"ehnes"
"Acanthorhynchus superciliosus","Acanthorhynchus",NA,9.75,"avian"
"Acanthorhynchus tenuirostris","Acanthorhynchus",NA,9.8,"avian"
"Acanthornis magnus","Acanthornis",NA,10.2,"avian"
"Acari phyto","Acari",NA,1.01923076923077e-05,"brose"
"Acari pred","Acari",NA,1.01779661016949e-05,"brose"
"Acari Sp. 1","Acari",1.5,NA,"brose"
"Acari Sp. 2","Acari",1.833333,NA,"brose"
"Acartia clausi","Acartia",0.353,NA,"brose"
"Acartia clausi","Acartia",0.625,2.725165317e-06,"lw.misc"
"Acartia erythraea","Acartia",1.109,1.15e-05,"lw.misc"
"Acartia erythraea","Acartia",0.903,7.68e-06,"lw.misc"
"Acartia pacifica","Acartia",0.912,8.28e-06,"lw.misc"
"Acartia tonsa","Acartia",0.097,NA,"brose"
"Acartia tsuensis","Acartia",0.6,1.601601949e-06,"lw.misc"
"Accanthopus reitteri","Accanthopus",8,NA,"teneb"
"Accanthopus velikensis","Accanthopus",11,NA,"teneb"
"Accipiter badius","Accipiter",NA,123,"avian"
"Accipiter badius","Accipiter",NA,131.2199899,"sibly"
"Accipiter brevipes","Accipiter",NA,186.6379691,"sibly"
"Accipiter castanilius","Accipiter",NA,159.25,"avian"
"Accipiter cirrocephalus","Accipiter",NA,180,"avian"
"Accipiter cooperii","Accipiter",NA,526.64,"anAge"
"Accipiter cooperii","Accipiter",NA,121.5,"avian"
"Accipiter cooperii","Accipiter",NA,429.5364268,"sibly"
"Accipiter fasciatus","Accipiter",NA,439.5,"avian"
"Accipiter gentilis","Accipiter",NA,1044.2,"anAge"
"Accipiter gentilis","Accipiter",NA,926,"avian"
"Accipiter gentilis","Accipiter",NA,866.9618758,"sibly"
"Accipiter melanoleucus","Accipiter",NA,704.766666666667,"avian"
"Accipiter melanoleucus","Accipiter",NA,698.2324041,"sibly"
"Accipiter minullus","Accipiter",NA,80.9,"avian"
"Accipiter nisus","Accipiter",NA,186.25,"anAge"
"Accipiter nisus","Accipiter",NA,220,"avian"
"Accipiter nisus","Accipiter",NA,220.8004733,"sibly"
"Accipiter novaehollandiae","Accipiter",NA,476.666666666667,"avian"
"Accipiter ovampensis","Accipiter",NA,200,"avian"
"Accipiter striatus","Accipiter",NA,135,"anAge"
"Accipiter striatus","Accipiter",NA,138.5,"avian"
"Accipiter striatus","Accipiter",NA,130.6170888,"sibly"
"Accipiter tachiro","Accipiter",NA,313.9,"avian"
"Acentrella","",2.9,0.00017979167,"lw.misc"
"Acerodon celebensis","Acerodon",201.25,384.84,"Pantheria"
"Acerodon humilis","Acerodon",NA,352.43,"Pantheria"
"Acerodon jubatus","Acerodon",NA,1087.04,"Pantheria"
"Acerodon leucotis","Acerodon",NA,352.07,"Pantheria"
"Acerodon mackloti","Acerodon",NA,467.93,"Pantheria"
"Acestrura mulsant","Acestrura",NA,4.15,"avian"
"Acetes japonicus","Acetes",12.25,0.004183535685,"lw.misc"
"Achaeta","Achaeta",NA,9.075e-05,"ehnes"
"Achaetops pycnopygius","Achaetops",NA,27.5,"avian"
"Acheta domesticus","Acheta",NA,0.369,"ehnes"
"Achipteria coleoptrata","Achipteria",NA,4.05e-05,"ehnes"
"Achipteria holomonensis","Achipteria",NA,1e-05,"ehnes"
"Achipteria oudemansi","Achipteria",NA,3.7e-05,"ehnes"
"Achlyonice violaecuspidata","Achlyonice",60,NA,"brose"
"Achnanthes elliptica","Achnanthes",0.01,5.24e-12,"brose"
"Achnanthes lanceolata","Achnanthes",0.019,3.59e-11,"brose"
"Achromadora ruricola","Achromadora",0.5,1.25e-07,"brose"
"Aciculioiditermes sp.","Aciculioiditermes",NA,0.0018,"ehnes"
"Acinonyx jubatus","Acinonyx",NA,45973.05,"anAge"
"Acinonyx jubatus","Acinonyx",1480.43,50577.92,"Pantheria"
"Acinopus almeriensis","Acinopus",16,NA,"carabid"
"Acinopus ambiguus ","Acinopus",6,NA,"carabid"
"Acinopus ammophilus","Acinopus",9,NA,"carabid"
"Acinopus antoinei","Acinopus",0,NA,"carabid"
"Acinopus doderoi","Acinopus",14.5,NA,"carabid"
"Acinopus giganteus","Acinopus",9,NA,"carabid"
"Acinopus grassator","Acinopus",15,NA,"carabid"
"Acinopus jeannei","Acinopus",17.5,NA,"carabid"
"Acinopus megacephalus","Acinopus",5,NA,"carabid"
"Acinopus picipes  ","Acinopus",14.5,NA,"carabid"
"Acinopus sabulosus","Acinopus",15,NA,"carabid"
"Acinopus subquadratus","Acinopus",15,NA,"carabid"
"Acipenser brevirostrum","Acipenser",NA,9325,"anAge"
"Acipenser fulvescens","Acipenser",NA,70000,"anAge"
"Acipenser gueldenstaedtii","Acipenser",NA,63250,"anAge"
"Acipenser gueldenstaedtii","Acipenser",1450,19999.3163996961,"fishbase"
"Acipenser oxyrinchus","Acipenser",NA,202400,"anAge"
"Acipenser ruthenus","Acipenser",NA,8800,"anAge"
"Acipenser ruthenus","Acipenser",400,291.837357531396,"fishbase"
"Acipenser schrenckii","Acipenser",NA,104500,"anAge"
"Acipenser stellatus","Acipenser",NA,44000,"anAge"
"Acipenser stellatus","Acipenser",1250,6151.91498086767,"fishbase"
"Acipenser sturio","Acipenser",NA,220000,"anAge"
"Acipenser transmontanus","Acipenser",NA,448800,"anAge"
"Acodontaster conspicuus","Acodontaster",48.1,38,"brose"
"Acomys cahirinus","Acomys",NA,43.6,"anAge"
"Acomys cahirinus","Acomys",NA,41.16,"Pantheria"
"Acomys cineraceus","Acomys",84.74,19.24,"Pantheria"
"Acomys kempi","Acomys",NA,21.99,"Pantheria"
"Acomys louisae","Acomys",NA,20.19,"Pantheria"
"Acomys minous","Acomys",NA,62.5,"anAge"
"Acomys minous","Acomys",NA,62.5,"Pantheria"
"Acomys percivali","Acomys",NA,21.99,"Pantheria"
"Acomys russatus","Acomys",NA,54.9,"anAge"
"Acomys russatus","Acomys",111.08,42.35,"Pantheria"
"Acomys spinosissimus","Acomys",NA,26.5,"Pantheria"
"Acomys subspinosus","Acomys",NA,21.92,"Pantheria"
"Acomys wilsoni","Acomys",NA,20,"anAge"
"Acomys wilsoni","Acomys",79.76,18.5,"Pantheria"
"Aconaemys fuscus","Aconaemys",NA,129.95,"Pantheria"
"Aconaemys sagei","Aconaemys",NA,96.49,"Pantheria"
"Acontias meleagris","Acontias",195.45,7.3,"jzo"
"Acridotheres cristatellus","Acridotheres",NA,112.95,"anAge"
"Acridotheres tristis","Acridotheres",NA,137,"avian"
"Acridotheres tristis","Acridotheres",NA,116.4126029,"sibly"
"Acris blanchardi","Acris",NA,1,"anAge"
"Acrobates pygmaeus","Acrobates",NA,13.5,"anAge"
"Acrobates pygmaeus","Acrobates",NA,13.84,"Pantheria"
"Acrocephalus aedon","Acrocephalus",NA,27.5,"avian"
"Acrocephalus agricola","Acrocephalus",NA,11.05,"avian"
"Acrocephalus arundinaceus","Acrocephalus",NA,25.95,"anAge"
"Acrocephalus arundinaceus","Acrocephalus",NA,30.35,"avian"
"Acrocephalus arundinaceus","Acrocephalus",NA,29.99162519,"sibly"
"Acrocephalus baeticatus","Acrocephalus",NA,10.2,"avian"
"Acrocephalus brevipennis","Acrocephalus",NA,16.5,"avian"
"Acrocephalus dumetorum","Acrocephalus",NA,11.2,"anAge"
"Acrocephalus dumetorum","Acrocephalus",NA,12,"avian"
"Acrocephalus familiaris","Acrocephalus",NA,18.3,"anAge"
"Acrocephalus gracilirostris","Acrocephalus",NA,16.7,"avian"
"Acrocephalus griseldis","Acrocephalus",NA,16.7,"avian"
"Acrocephalus melanopogon","Acrocephalus",NA,10.9,"anAge"
"Acrocephalus melanopogon","Acrocephalus",NA,12.9,"avian"
"Acrocephalus paludicola","Acrocephalus",NA,10.45,"avian"
"Acrocephalus palustris","Acrocephalus",NA,11.15,"anAge"
"Acrocephalus palustris","Acrocephalus",NA,12,"avian"
"Acrocephalus palustris","Acrocephalus",NA,11.50800389,"sibly"
"Acrocephalus rufescens","Acrocephalus",NA,21.5,"avian"
"Acrocephalus schoenobaenus","Acrocephalus",NA,11.65,"anAge"
"Acrocephalus schoenobaenus","Acrocephalus",NA,11.9,"avian"
"Acrocephalus schoenobaenus","Acrocephalus",NA,11.83041556,"sibly"
"Acrocephalus scirpaceus","Acrocephalus",NA,12.3,"anAge"
"Acrocephalus scirpaceus","Acrocephalus",NA,11.8,"avian"
"Acrocephalus scirpaceus","Acrocephalus",NA,12.30268771,"sibly"
"Acrocephalus sechellensis","Acrocephalus",NA,15.9,"anAge"
"Acrocephalus stentoreus","Acrocephalus",NA,24.2,"anAge"
"Acrocephalus stentoreus","Acrocephalus",NA,26.9,"avian"
"Acrocinus longimanus","Acrocinus",NA,5.383,"ehnes"
"Acrocodia indica","Acrocodia",NA,250000,"anAge"
"Acroneuria abnormis","Acroneuria",15.15,0.02121132184,"lw.misc"
"Acroneuria evoluta","Acroneuria",NA,0.004813923662,"lw.misc"
"Acroneuria spp.","Acroneuria",10.2,0.003455806014,"lw.misc"
"Acryllium vulturinum","Acryllium",NA,1332.25,"avian"
"Actitis hypoleucos","Actitis",NA,48,"anAge"
"Actitis macularius","Actitis",NA,34,"anAge"
"Actophilornis africanus","Actophilornis",NA,201.95,"avian"
"Acupalpus brunnipes","Acupalpus",3.5,NA,"carabid"
"Acupalpus cantabricus ","Acupalpus",3,NA,"carabid"
"Acupalpus dubius","Acupalpus",2.5,NA,"carabid"
"Acupalpus elegans","Acupalpus",3.5,NA,"carabid"
"Acupalpus exiguus ","Acupalpus",2,NA,"carabid"
"Acupalpus flavicollis","Acupalpus",NA,6e-04,"brose"
"Acupalpus flavicollis","Acupalpus",3,NA,"carabid"
"Acupalpus ibericus","Acupalpus",3.5,NA,"carabid"
"Acupalpus interstitialis","Acupalpus",2.5,NA,"carabid"
"Acupalpus lucasi","Acupalpus",4,NA,"carabid"
"Acupalpus luteatus","Acupalpus",2.5,NA,"carabid"
"Acupalpus maculatus","Acupalpus",3.5,NA,"carabid"
"Acupalpus mediterraneus","Acupalpus",3.5,NA,"carabid"
"Acupalpus meridianus","Acupalpus",3.5,NA,"carabid"
"Acupalpus notatus","Acupalpus",2.5,NA,"carabid"
"Acupalpus oliveirae","Acupalpus",3,NA,"carabid"
"Acupalpus paludicola","Acupalpus",3,NA,"carabid"
"Acupalpus parvulus","Acupalpus",3.5,NA,"carabid"
"Acupalpus planicollis","Acupalpus",2.5,NA,"carabid"
"Acupalpus puncticollis","Acupalpus",2.5,NA,"carabid"
"Acupalpus suturalis ","Acupalpus",3.5,NA,"carabid"
"Acupalpus turcicus","Acupalpus",2.5,NA,"carabid"
"Acupalpus zaerensis","Acupalpus",3,NA,"carabid"
"Acyrthosiphon pisum","Acyrthosiphon",2.54101233333333,NA,"brose"
"Acyrthosiphon spartii","Acyrthosiphon",2,NA,"brose"
"Acyrthosiphon spartii","Acyrthosiphon",2,NA,"brose"
"Adalia bipunctata","Adalia",4.5,NA,"brose"
"Adalia decempunctata","Adalia",4.25,NA,"brose"
"Adamussium colbecki","Adamussium",420,NA,"brose"
"Addax nasomaculatus","Addax",NA,92500,"anAge"
"Addax nasomaculatus","Addax",NA,96077.36,"Pantheria"
"Adelina turcica","Adelina",4,NA,"teneb"
"Adelomyia melanogenys","Adelomyia",NA,3.2,"avian"
"Adeloneivaia boisduvalii","Adeloneivaia",NA,1.034,"ehnes"
"Adeloneivaia subungulata","Adeloneivaia",NA,0.487,"ehnes"
"Adelostoma sulcatum","Adelostoma",6.25,NA,"teneb"
"Adesmia baccata","Adesmia",NA,0.407,"ehnes"
"Adicella reducta","Adicella",NA,0.000507692,"brose"
"Adoristes ovatus","Adoristes",NA,3.45e-05,"ehnes"
"Adriaphaenops antroherponomimus","Adriaphaenops",5,NA,"carabid"
"Adriaphaenops pretneri","Adriaphaenops",4.5,NA,"carabid"
"Adriaphaenops staudacheri","Adriaphaenops",3.5,NA,"carabid"
"Adriaphaenops stirni","Adriaphaenops",5,NA,"carabid"
"Aechmophorus clarkii","Aechmophorus",NA,1237,"avian"
"Aechmophorus occidentalis","Aechmophorus",NA,1475.5,"anAge"
"Aechmophorus occidentalis","Aechmophorus",NA,1314,"avian"
"Aechmophorus occidentalis","Aechmophorus",NA,1137.627286,"sibly"
"Aëdes campestris","Aëdes",NA,0.00672,"ehnes"
"Aega antarctica","Aega",27,NA,"brose"
"Aegires albus","Aegires",30,NA,"brose"
"Aegithalos caudatus","Aegithalos",NA,8.75,"anAge"
"Aegithalos caudatus","Aegithalos",NA,8.1,"avian"
"Aegithalos caudatus","Aegithalos",NA,8.590135215,"sibly"
"Aegolius acadicus","Aegolius",NA,120.95,"anAge"
"Aegolius acadicus","Aegolius",NA,104.25,"avian"
"Aegolius acadicus","Aegolius",NA,100.6931669,"sibly"
"Aegolius funereus","Aegolius",NA,120,"anAge"
"Aegolius funereus","Aegolius",NA,122.666666666667,"avian"
"Aegolius funereus","Aegolius",NA,137.0881766,"sibly"
"Aegotheles cristatus","Aegotheles",NA,44,"avian"
"Aegypius monachus","Aegypius",NA,9625,"anAge"
"Aegypius monachus","Aegypius",NA,9625,"avian"
"Aegypius monachus","Aegypius",NA,9311.078755,"sibly"
"Aenigmatolimnas marginalis","Aenigmatolimnas",NA,61,"avian"
"Aepeomys lugens","Aepeomys",NA,37,"Pantheria"
"Aephnidius barbarus","Aephnidius",4,NA,"carabid"
"Aephnidius rutilus","Aephnidius",4,NA,"carabid"
"Aepopsis robinii","Aepopsis",2,NA,"carabid"
"Aepus gallaecus","Aepus",2,NA,"carabid"
"Aepus marinus","Aepus",2.5,NA,"carabid"
"Aepyceros melampus","Aepyceros",NA,52500,"anAge"
"Aepyceros melampus","Aepyceros",1420,52591.69,"Pantheria"
"Aepyprymnus rufescens","Aepyprymnus",NA,3035,"anAge"
"Aepyprymnus rufescens","Aepyprymnus",NA,2810.31,"Pantheria"
"Aeromys tephromelas","Aeromys",378.86,1187,"Pantheria"
"Aeromys thomasi","Aeromys",340.5,1430.19,"Pantheria"
"Aeronautes saxatalis","Aeronautes",NA,31,"anAge"
"Aeronautes saxatalis","Aeronautes",NA,31.2,"avian"
"Aeshna cyanea","Aeshna",22,NA,"brose"
"Aeshna juncea","Aeshna",18.95,NA,"brose"
"Aeshna sp","Aeshna",NA,0.0816,"brose"
"Aethalops aequalis","Aethalops",NA,12.8,"Pantheria"
"Aethalops alecto","Aethalops",NA,15,"Pantheria"
"Aethia cristatella","Aethia",NA,289,"anAge"
"Aethia cristatella","Aethia",NA,259.55,"avian"
"Aethia pusilla","Aethia",NA,96,"anAge"
"Aethia pusilla","Aethia",NA,81.4,"avian"
"Aethia pygmaea","Aethia",NA,120,"anAge"
"Aethia pygmaea","Aethia",NA,122.55,"avian"
"Aethomys chrysophilus","Aethomys",141.52,80.85,"Pantheria"
"Aethomys hindei","Aethomys",NA,140.65,"Pantheria"
"Aethomys ineptus","Aethomys",142,133.16,"Pantheria"
"Aethomys kaiseri","Aethomys",NA,89.99,"Pantheria"
"Aethomys namaquensis","Aethomys",NA,55.1,"anAge"
"Aethotaxis mitopteryx","Aethotaxis",123,NA,"brose"
"Aetobatus flagellum","Aetobatus",NA,7645,"anAge"
"Afroablepharus wahlbergi","Afroablepharus",43.22,0.8,"jzo"
"Afrogecko porphyreus","Afrogecko",49,1.5,"jzo"
"Agabus bipustulatus","Agabus",10.6214285714286,NA,"brose"
"Agabus larvae","Agabus",12.766667,NA,"brose"
"Agabus nebulosus","Agabus",8.366667,NA,"brose"
"Agabus sturmii","Agabus",8,NA,"brose"
"Agama agama","Agama",135,100,"jzo"
"Agama caudospinosa","Agama",130.27,82.1,"jzo"
"Agama hispida","Agama",66.6,14.1,"jzo"
"Agama impalearis","Agama",131,100,"jzo"
"Agama mwanzae","Agama",160,110,"jzo"
"Agama planiceps","Agama",114,49.3,"jzo"
"Agama rueppelli","Agama",72.5,26.8,"jzo"
"Agamia agami","Agamia",NA,505,"avian"
"Agamura persica","Agamura",60,3.2,"jzo"
"Agapornis fischeri","Agapornis",NA,48.3,"anAge"
"Agapornis fischeri","Agapornis",NA,46,"avian"
"Agapornis lilianae","Agapornis",NA,37.3,"anAge"
"Agapornis lilianae","Agapornis",NA,38.25,"avian"
"Agapornis personatus","Agapornis",NA,52.5,"avian"
"Agapornis pullarius","Agapornis",NA,43,"anAge"
"Agapornis pullarius","Agapornis",NA,37.5,"avian"
"Agapornis roseicollis","Agapornis",NA,54.8,"anAge"
"Agapornis roseicollis","Agapornis",NA,54,"avian"
"Agapornis swindernianus","Agapornis",NA,40,"avian"
"Agapornis taranta","Agapornis",NA,57.5,"anAge"
"Agapornis taranta","Agapornis",NA,57.5,"avian"
"Agarodes libalis","Agarodes",9,0.003053587985,"lw.misc"
"Agelaea fulva","Agelaea",7.5,NA,"carabid"
"Agelaius phoeniceus","Agelaius",NA,56.7,"anAge"
"Agelaius phoeniceus","Agelaius",NA,54.3666666666667,"avian"
"Agelaius phoeniceus","Agelaius",NA,50.81594426,"sibly"
"Agelaius tricolor","Agelaius",NA,56.5,"anAge"
"Agelaius tricolor","Agelaius",NA,56.5,"avian"
"Agelaius tricolor","Agelaius",NA,57.94286964,"sibly"
"Agelaius xanthomus","Agelaius",NA,38.4,"anAge"
"Agkistrodon bilineatus","Agkistrodon",337,51.1,"snakes"
"Agkistrodon contortrix","Agkistrodon",610.5,217.2,"snakes"
"Agkistrodon piscivorus","Agkistrodon",820,532.5,"snakes"
"Aglaeactis castelnaudii","Aglaeactis",NA,6.7,"avian"
"Aglaeactis cupripennis","Aglaeactis",NA,8.05,"avian"
"Aglaeactis pamela","Aglaeactis",NA,5.5,"avian"
"Aglaiocercus kingi","Aglaiocercus",NA,4.9,"avian"
"Aglelenopsis aperta","Aglelenopsis",NA,0.556,"ehnes"
"Agnetina capitata","Agnetina",7.1,0.002796050001,"lw.misc"
"Agonopteryx assimemenella","Agonopteryx",7.14,NA,"brose"
"Agonum afrum","Agonum",8,NA,"carabid"
"Agonum alpestre","Agonum",7.5,NA,"carabid"
"Agonum antennarium","Agonum",7,NA,"carabid"
"Agonum ardoisi","Agonum",7,NA,"carabid"
"Agonum atlante","Agonum",7.5,NA,"carabid"
"Agonum chalconotum","Agonum",7.5,NA,"carabid"
"Agonum consimile","Agonum",5.5,NA,"carabid"
"Agonum curvipes","Agonum",8,NA,"carabid"
"Agonum dolens","Agonum",7,NA,"carabid"
"Agonum duftschmidi","Agonum",8,NA,"carabid"
"Agonum ericeti","Agonum",7,NA,"carabid"
"Agonum exaratum","Agonum",5.5,NA,"carabid"
"Agonum extensum","Agonum",8,NA,"carabid"
"Agonum fulgidicolle","Agonum",9,NA,"carabid"
"Agonum fuliginosum","Agonum",6,NA,"carabid"
"Agonum gerdmuelleri","Agonum",7.5,NA,"carabid"
"Agonum gisellae","Agonum",8,NA,"carabid"
"Agonum gracile","Agonum",6,NA,"carabid"
"Agonum gracilipes","Agonum",7.5,NA,"carabid"
"Agonum hypocrita","Agonum",8,NA,"carabid"
"Agonum impressum","Agonum",9,NA,"carabid"
"Agonum kretaense","Agonum",8,NA,"carabid"
"Agonum longicorne","Agonum",7,NA,"carabid"
"Agonum lugens","Agonum",8.5,NA,"carabid"
"Agonum marginatum","Agonum",9,NA,"carabid"
"Agonum micans","Agonum",6,NA,"carabid"
"Agonum monachum","Agonum",7.5,NA,"carabid"
"Agonum muelleri","Agonum",7.5,NA,"carabid"
"Agonum munsteri","Agonum",5.5,NA,"carabid"
"Agonum nigrum ","Agonum",7,NA,"carabid"
"Agonum numidicum","Agonum",7,NA,"carabid"
"Agonum pelidnum","Agonum",6,NA,"carabid"
"Agonum permoestum","Agonum",8,NA,"carabid"
"Agonum persecretum","Agonum",8,NA,"carabid"
"Agonum piceum","Agonum",6,NA,"carabid"
"Agonum pirata","Agonum",6.5,NA,"carabid"
"Agonum pseudomoestum","Agonum",8,NA,"carabid"
"Agonum quadripustulatum ","Agonum",5,NA,"carabid"
"Agonum rugicolle","Agonum",10.5,NA,"carabid"
"Agonum scitulum ","Agonum",6,NA,"carabid"
"Agonum sexpunctatum","Agonum",7.5,NA,"carabid"
"Agonum sordidum ","Agonum",7.5,NA,"carabid"
"Agonum temperei","Agonum",6.5,NA,"carabid"
"Agonum thoreyi","Agonum",NA,0.0037,"brose"
"Agonum thoreyi ","Agonum",7,NA,"carabid"
"Agonum versutum","Agonum",7,NA,"carabid"
"Agonum viduum","Agonum",NA,0.0118611111111111,"brose"
"Agonum viduum","Agonum",8,NA,"carabid"
"Agonum viridicupreum","Agonum",8.5,NA,"carabid"
"Agonus cataphractus","Agonus",50,1.307879651,"brose"
"Agostinia gaudini","Agostinia ",5,NA,"carabid"
"Agostinia gineti","Agostinia ",4,NA,"carabid"
"Agostinia launi","Agostinia ",7,NA,"carabid"
"Agraecina striata","Agraecina",NA,0.00025,"brose"
"Agriotes lineatus","Agriotes",NA,0.00535,"brose"
"Agriotes sp","Agriotes",NA,0.0031,"brose"
"Agrotis exclamationis","Agrotis",NA,0.0483,"brose"
"Agrypnus bocandei","Agrypnus",NA,0.1662,"ehnes"
"Ahaetulla prasina","Ahaetulla",1380,78.2,"snakes"
"Ahtola atra","Ahtola",4.2,NA,"brose"
"Ailuroedus buccoides","Ailuroedus",NA,149,"avian"
"Ailuroedus crassirostris","Ailuroedus",NA,151,"avian"
"Ailuroedus crassirostris","Ailuroedus",NA,205.1162179,"sibly"
"Ailuronyx seychellensis","Ailuronyx",94.13,36,"jzo"
"Ailuropoda melanoleuca","Ailuropoda",NA,117500,"anAge"
"Ailuropoda melanoleuca","Ailuropoda",1345.98,117999.99,"Pantheria"
"Ailurops ursinus","Ailurops",NA,7000,"anAge"
"Ailurops ursinus","Ailurops",NA,10000,"Pantheria"
"Ailurus fulgens","Ailurus",NA,5032.5,"anAge"
"Ailurus fulgens","Ailurus",582.32,5170.08,"Pantheria"
"Aimophila aestivalis","Aimophila",NA,19.6,"anAge"
