"i.vec","sp.query","q.rank","ncbi.ids","class","cohort","family","genus","infraclass","infraorder","kingdom","order","parvorder","phylum","species","species group","subclass","subfamily","subgenus","subkingdom","suborder","subphylum","subtribe","superclass","superfamily","superkingdom","superorder","tribe"
1,"Abramis ballerus","genus","38526","Actinopteri",NA,"Cyprinidae","Abramis","Teleostei",NA,"Metazoa","Cypriniformes",NA,"Chordata",NA,NA,"Neopterygii",NA,NA,NA,NA,"Craniata",NA,"Actinopterygii","Cyprinoidea","Eukaryota","Cypriniphysae",NA
2,"Abramis bjoerkna","genus","38526","Actinopteri",NA,"Cyprinidae","Abramis","Teleostei",NA,"Metazoa","Cypriniformes",NA,"Chordata",NA,NA,"Neopterygii",NA,NA,NA,NA,"Craniata",NA,"Actinopterygii","Cyprinoidea","Eukaryota","Cypriniphysae",NA
3,"Abramis brama","species","38527","Actinopteri",NA,"Cyprinidae","Abramis","Teleostei",NA,"Metazoa","Cypriniformes",NA,"Chordata","Abramis brama",NA,"Neopterygii",NA,NA,NA,NA,"Craniata",NA,"Actinopterygii","Cyprinoidea","Eukaryota","Cypriniphysae",NA
4,"Abramis sapa","genus","38526","Actinopteri",NA,"Cyprinidae","Abramis","Teleostei",NA,"Metazoa","Cypriniformes",NA,"Chordata",NA,NA,"Neopterygii",NA,NA,NA,NA,"Craniata",NA,"Actinopterygii","Cyprinoidea","Eukaryota","Cypriniphysae",NA
5,"Abrothrix jelskii","species","241142","Mammalia",NA,"Cricetidae","Abrothrix",NA,NA,"Metazoa","Rodentia",NA,"Chordata","Abrothrix jelskii",NA,NA,"Sigmodontinae",NA,NA,"Myomorpha","Craniata",NA,NA,NA,"Eukaryota","Euarchontoglires",NA
6,"Acanthistius patachonicus","species","1053711","Actinopteri",NA,"Serranidae","Acanthistius","Teleostei",NA,"Metazoa","Perciformes",NA,"Chordata","Acanthistius patachonicus",NA,"Neopterygii","Anthiadinae",NA,NA,"Serranoidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA
7,"Acanthocyclops bicuspidatus","species","669468","Maxillopoda",NA,"Cyclopidae","Acanthocyclops","Neocopepoda",NA,"Metazoa","Cyclopoida",NA,"Arthropoda","Acanthocyclops bicuspidatus",NA,"Copepoda",NA,NA,NA,NA,"Crustacea",NA,NA,NA,"Eukaryota","Podoplea",NA
8,"Acanthocyclops gigas","genus","245076","Maxillopoda",NA,"Cyclopidae","Acanthocyclops","Neocopepoda",NA,"Metazoa","Cyclopoida",NA,"Arthropoda",NA,NA,"Copepoda",NA,NA,NA,NA,"Crustacea",NA,NA,NA,"Eukaryota","Podoplea",NA
9,"Acanthocyclops languidoides","genus","245076","Maxillopoda",NA,"Cyclopidae","Acanthocyclops","Neocopepoda",NA,"Metazoa","Cyclopoida",NA,"Arthropoda",NA,NA,"Copepoda",NA,NA,NA,NA,"Crustacea",NA,NA,NA,"Eukaryota","Podoplea",NA
10,"Acanthocyclops nanus","genus","245076","Maxillopoda",NA,"Cyclopidae","Acanthocyclops","Neocopepoda",NA,"Metazoa","Cyclopoida",NA,"Arthropoda",NA,NA,"Copepoda",NA,NA,NA,NA,"Crustacea",NA,NA,NA,"Eukaryota","Podoplea",NA
11,"Acanthocyclops robustus","species","415614","Maxillopoda",NA,"Cyclopidae","Acanthocyclops","Neocopepoda",NA,"Metazoa","Cyclopoida",NA,"Arthropoda","Acanthocyclops robustus",NA,"Copepoda",NA,NA,NA,NA,"Crustacea",NA,NA,NA,"Eukaryota","Podoplea",NA
12,"Acanthocyclops sp.","genus","245076","Maxillopoda",NA,"Cyclopidae","Acanthocyclops","Neocopepoda",NA,"Metazoa","Cyclopoida",NA,"Arthropoda",NA,NA,"Copepoda",NA,NA,NA,NA,"Crustacea",NA,NA,NA,"Eukaryota","Podoplea",NA
13,"Acanthocyclops vernalis","species","245077","Maxillopoda",NA,"Cyclopidae","Acanthocyclops","Neocopepoda",NA,"Metazoa","Cyclopoida",NA,"Arthropoda","Acanthocyclops vernalis",NA,"Copepoda",NA,NA,NA,NA,"Crustacea",NA,NA,NA,"Eukaryota","Podoplea",NA
14,"Acanthocyclops viridis","species","298422","Maxillopoda",NA,"Cyclopidae","Acanthocyclops","Neocopepoda",NA,"Metazoa","Cyclopoida",NA,"Arthropoda","Acanthocyclops viridis",NA,"Copepoda",NA,NA,NA,NA,"Crustacea",NA,NA,NA,"Eukaryota","Podoplea",NA
15,"Acanthodactylus pardalis","species","463643","Craniata",NA,"Lacertidae","Acanthodactylus",NA,NA,"Metazoa","Squamata",NA,"Chordata","Acanthodactylus pardalis",NA,NA,"Lacertinae",NA,NA,NA,"Craniata",NA,NA,NA,"Eukaryota","Lepidosauria",NA
16,"Acanthodactylus schmidti","species","80464","Craniata",NA,"Lacertidae","Acanthodactylus",NA,NA,"Metazoa","Squamata",NA,"Chordata","Acanthodactylus schmidti",NA,NA,"Lacertinae",NA,NA,NA,"Craniata",NA,NA,NA,"Eukaryota","Lepidosauria",NA
17,"Acanthodactylus schreiberi","species","714888","Craniata",NA,"Lacertidae","Acanthodactylus",NA,NA,"Metazoa","Squamata",NA,"Chordata","Acanthodactylus schreiberi",NA,NA,"Lacertinae",NA,NA,NA,"Craniata",NA,NA,NA,"Eukaryota","Lepidosauria",NA
18,"Acanthodiaptomus denticornis","species","595357","Maxillopoda",NA,"Diaptomidae","Acanthodiaptomus","Neocopepoda",NA,"Metazoa","Calanoida",NA,"Arthropoda","Acanthodiaptomus denticornis",NA,"Copepoda",NA,NA,NA,NA,"Crustacea",NA,NA,NA,"Eukaryota","Gymnoplea",NA
19,"Acanthogobius flavimanus","species","86203","Actinopteri",NA,"Gobiidae","Acanthogobius","Teleostei",NA,"Metazoa","Gobiiformes",NA,"Chordata","Acanthogobius flavimanus",NA,"Neopterygii","Gobionellinae",NA,NA,"Gobioidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA
20,"Acanthogobius hasta","species","267130","Actinopteri",NA,"Gobiidae","Acanthogobius","Teleostei",NA,"Metazoa","Gobiiformes",NA,"Chordata","Acanthogobius hasta",NA,"Neopterygii","Gobionellinae",NA,NA,"Gobioidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA
21,"Acartia bifilosa","species","544687","Maxillopoda",NA,"Acartiidae","Acartia","Neocopepoda",NA,"Metazoa","Calanoida",NA,"Arthropoda","Acartia bifilosa",NA,"Copepoda",NA,NA,NA,NA,"Crustacea",NA,NA,NA,"Eukaryota","Gymnoplea",NA
22,"Acartia clausi","genus","121148","Maxillopoda",NA,"Acartiidae","Acartia","Neocopepoda",NA,"Metazoa","Calanoida",NA,"Arthropoda",NA,NA,"Copepoda",NA,NA,NA,NA,"Crustacea",NA,NA,NA,"Eukaryota","Gymnoplea",NA
23,"Acartia discaudata","species","1201398","Maxillopoda",NA,"Acartiidae","Acartia","Neocopepoda",NA,"Metazoa","Calanoida",NA,"Arthropoda","Acartia discaudata",NA,"Copepoda",NA,NA,NA,NA,"Crustacea",NA,NA,NA,"Eukaryota","Gymnoplea",NA
24,"Acartia longiremis","species","121149","Maxillopoda",NA,"Acartiidae","Acartia","Neocopepoda",NA,"Metazoa","Calanoida",NA,"Arthropoda","Acartia longiremis",NA,"Copepoda",NA,NA,NA,NA,"Crustacea",NA,NA,NA,"Eukaryota","Gymnoplea",NA
25,"Acartia sp.","genus","121148","Maxillopoda",NA,"Acartiidae","Acartia","Neocopepoda",NA,"Metazoa","Calanoida",NA,"Arthropoda",NA,NA,"Copepoda",NA,NA,NA,NA,"Crustacea",NA,NA,NA,"Eukaryota","Gymnoplea",NA
26,"Acartia tonsa","species","136180","Maxillopoda",NA,"Acartiidae","Acartia","Neocopepoda",NA,"Metazoa","Calanoida",NA,"Arthropoda","Acartia tonsa",NA,"Copepoda",NA,NA,NA,NA,"Crustacea",NA,NA,NA,"Eukaryota","Gymnoplea",NA
27,"Accipiter badius","species","387787","Aves",NA,"Accipitridae","Accipiter",NA,NA,"Metazoa","Falconiformes",NA,"Chordata","Accipiter badius",NA,NA,"Accipitrinae",NA,NA,NA,"Craniata",NA,NA,NA,"Eukaryota","Neognathae",NA
28,"Accipiter cooperii","species","261198","Aves",NA,"Accipitridae","Accipiter",NA,NA,"Metazoa","Falconiformes",NA,"Chordata","Accipiter cooperii",NA,NA,"Accipitrinae",NA,NA,NA,"Craniata",NA,NA,NA,"Eukaryota","Neognathae",NA
29,"Accipiter gentilis","species","8957","Aves",NA,"Accipitridae","Accipiter",NA,NA,"Metazoa","Falconiformes",NA,"Chordata","Accipiter gentilis",NA,NA,"Accipitrinae",NA,NA,NA,"Craniata",NA,NA,NA,"Eukaryota","Neognathae",NA
30,"Accipiter gularis","species","258530","Aves",NA,"Accipitridae","Accipiter",NA,NA,"Metazoa","Falconiformes",NA,"Chordata","Accipiter gularis",NA,NA,"Accipitrinae",NA,NA,NA,"Craniata",NA,NA,NA,"Eukaryota","Neognathae",NA
31,"Accipiter nisus","species","211598","Aves",NA,"Accipitridae","Accipiter",NA,NA,"Metazoa","Falconiformes",NA,"Chordata","Accipiter nisus",NA,NA,"Accipitrinae",NA,NA,NA,"Craniata",NA,NA,NA,"Eukaryota","Neognathae",NA
32,"Accipiter striatus","species","56330","Aves",NA,"Accipitridae","Accipiter",NA,NA,"Metazoa","Falconiformes",NA,"Chordata","Accipiter striatus",NA,NA,"Accipitrinae",NA,NA,NA,"Craniata",NA,NA,NA,"Eukaryota","Neognathae",NA
34,"Achatina fulica","species","6530","Gastropoda",NA,"Achatinidae","Achatina",NA,NA,"Metazoa","Stylommatophora",NA,"Mollusca","Achatina fulica",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Achatinoidea","Eukaryota",NA,NA
35,"Acheta assimilis","genus","6996","Insecta","Polyneoptera","Gryllidae","Acheta","Neoptera",NA,"Metazoa","Orthoptera",NA,"Arthropoda",NA,NA,"Pterygota","Gryllinae",NA,NA,"Ensifera",NA,NA,"Hexapoda","Grylloidea","Eukaryota",NA,NA
36,"Acheta domestica","genus","6996","Insecta","Polyneoptera","Gryllidae","Acheta","Neoptera",NA,"Metazoa","Orthoptera",NA,"Arthropoda",NA,NA,"Pterygota","Gryllinae",NA,NA,"Ensifera",NA,NA,"Hexapoda","Grylloidea","Eukaryota",NA,NA
37,"Acheta domesticus","species","6997","Insecta","Polyneoptera","Gryllidae","Acheta","Neoptera",NA,"Metazoa","Orthoptera",NA,"Arthropoda","Acheta domesticus",NA,"Pterygota","Gryllinae",NA,NA,"Ensifera",NA,NA,"Hexapoda","Grylloidea","Eukaryota",NA,NA
38,"Acheta pennsylvanicus","genus","6996","Insecta","Polyneoptera","Gryllidae","Acheta","Neoptera",NA,"Metazoa","Orthoptera",NA,"Arthropoda",NA,NA,"Pterygota","Gryllinae",NA,NA,"Ensifera",NA,NA,"Hexapoda","Grylloidea","Eukaryota",NA,NA
39,"Achipteria spp.","genus","229768","Arachnida",NA,"Achipteriidae","Achipteria",NA,NA,"Metazoa","Oribatida",NA,"Arthropoda",NA,NA,"Acari",NA,NA,NA,"Brachypylina","Chelicerata",NA,NA,"Achipterioidea","Eukaryota","Acariformes",NA
40,"Acinonyx jubatus","species","32536","Mammalia",NA,"Felidae","Acinonyx",NA,NA,"Metazoa","Carnivora",NA,"Chordata","Acinonyx jubatus",NA,NA,"Acinonychinae",NA,NA,"Feliformia","Craniata",NA,NA,NA,"Eukaryota","Laurasiatheria",NA
41,"Acipenser brevirostrum","species","7907","Actinopteri",NA,"Acipenseridae","Acipenser",NA,NA,"Metazoa","Acipenseriformes",NA,"Chordata","Acipenser brevirostrum",NA,"Chondrostei","Acipenserinae",NA,NA,"Acipenseroidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,"Acipenserini"
42,"Acipenser gueldenstaedtii","species","7902","Actinopteri",NA,"Acipenseridae","Acipenser",NA,NA,"Metazoa","Acipenseriformes",NA,"Chordata","Acipenser gueldenstaedtii",NA,"Chondrostei","Acipenserinae",NA,NA,"Acipenseroidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,"Acipenserini"
43,"Acipenser guldenstadtii","genus","7901","Actinopteri",NA,"Acipenseridae","Acipenser",NA,NA,"Metazoa","Acipenseriformes",NA,"Chordata",NA,NA,"Chondrostei","Acipenserinae",NA,NA,"Acipenseroidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,"Acipenserini"
44,"Acipenser ruthenus","species","7906","Actinopteri",NA,"Acipenseridae","Acipenser",NA,NA,"Metazoa","Acipenseriformes",NA,"Chordata","Acipenser ruthenus",NA,"Chondrostei","Acipenserinae",NA,NA,"Acipenseroidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,"Acipenserini"
45,"Acipenser stellatus","species","7903","Actinopteri",NA,"Acipenseridae","Acipenser",NA,NA,"Metazoa","Acipenseriformes",NA,"Chordata","Acipenser stellatus",NA,"Chondrostei","Acipenserinae",NA,NA,"Acipenseroidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,"Acipenserini"
46,"Acipenser transmontanus","species","7904","Actinopteri",NA,"Acipenseridae","Acipenser",NA,NA,"Metazoa","Acipenseriformes",NA,"Chordata","Acipenser transmontanus",NA,"Chondrostei","Acipenserinae",NA,NA,"Acipenseroidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,"Acipenserini"
48,"Acomys cahirinus","species","10068","Mammalia",NA,"Muridae","Acomys",NA,NA,"Metazoa","Rodentia",NA,"Chordata","Acomys cahirinus",NA,NA,"Deomyinae",NA,NA,"Myomorpha","Craniata",NA,NA,NA,"Eukaryota","Euarchontoglires",NA
49,"Acomys dimidiatus","species","60744","Mammalia",NA,"Muridae","Acomys",NA,NA,"Metazoa","Rodentia",NA,"Chordata","Acomys dimidiatus",NA,NA,"Deomyinae",NA,NA,"Myomorpha","Craniata",NA,NA,NA,"Eukaryota","Euarchontoglires",NA
50,"Acrantophis dumerili","species","51850","Craniata",NA,"Boidae","Acrantophis",NA,"Serpentes","Metazoa","Squamata",NA,"Chordata","Acrantophis dumerili",NA,NA,"Boinae",NA,NA,NA,"Craniata",NA,NA,"Henophidia","Eukaryota","Lepidosauria",NA
51,"Acrida exaltata","species","546922","Insecta","Polyneoptera","Acrididae","Acrida","Neoptera","Acrididea","Metazoa","Orthoptera",NA,"Arthropoda","Acrida exaltata",NA,"Pterygota","Acridinae",NA,NA,"Caelifera",NA,NA,"Hexapoda","Acridoidea","Eukaryota",NA,NA
52,"Acrida turrita","species","62766","Insecta","Polyneoptera","Acrididae","Acrida","Neoptera","Acrididea","Metazoa","Orthoptera",NA,"Arthropoda","Acrida turrita",NA,"Pterygota","Acridinae",NA,NA,"Caelifera",NA,NA,"Hexapoda","Acridoidea","Eukaryota",NA,NA
53,"Acridotheres tristis","species","279927","Aves",NA,"Sturnidae","Acridotheres",NA,NA,"Metazoa","Passeriformes",NA,"Chordata","Acridotheres tristis",NA,NA,NA,NA,NA,NA,"Craniata",NA,NA,NA,"Eukaryota","Neognathae",NA
54,"Acrocephalus turdoides","genus","39620","Aves",NA,"Sylviidae","Acrocephalus",NA,NA,"Metazoa","Passeriformes",NA,"Chordata",NA,NA,NA,"Acrocephalinae",NA,NA,NA,"Craniata",NA,NA,NA,"Eukaryota","Neognathae",NA
55,"Acrogalumna longipluma","species","708378","Arachnida",NA,"Galumnidae","Acrogalumna",NA,NA,"Metazoa","Oribatida",NA,"Arthropoda","Acrogalumna longipluma",NA,"Acari",NA,NA,NA,"Brachypylina","Chelicerata",NA,NA,"Galumnoidea","Eukaryota","Acariformes",NA
56,"Acroloxus lacustris","species","240811","Gastropoda",NA,"Acroloxidae","Acroloxus",NA,NA,"Metazoa","Acroloxoidea",NA,"Mollusca","Acroloxus lacustris",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acroloxoidea","Eukaryota",NA,NA
57,"Acroneuria brevicauda","genus","219316","Insecta","Polyneoptera","Perlidae","Acroneuria","Neoptera",NA,"Metazoa","Plecoptera",NA,"Arthropoda",NA,NA,"Pterygota","Acroneuriinae",NA,NA,NA,NA,NA,"Hexapoda","Perloidea","Eukaryota",NA,NA
58,"Acrotylus humbertianus","genus","322736","Insecta","Polyneoptera","Acrididae","Acrotylus","Neoptera","Acrididea","Metazoa","Orthoptera",NA,"Arthropoda",NA,NA,"Pterygota","Oedipodinae",NA,NA,"Caelifera",NA,NA,"Hexapoda","Acridoidea","Eukaryota",NA,NA
58,"Acrotylus humbertianus","genus","257544","Florideophyceae",NA,"Acrotylaceae","Acrotylus",NA,NA,NA,"Gigartinales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota",NA,NA
59,"Adesmia cancellata","species","1752712","Insecta","Holometabola","Tenebrionidae","Adesmia","Neoptera","Cucujiformia","Metazoa","Coleoptera",NA,"Arthropoda","Adesmia cancellata",NA,"Pterygota","Pimeliinae",NA,NA,"Polyphaga",NA,NA,"Hexapoda","Tenebrionoidea","Eukaryota",NA,NA
60,"Adesmia gebleri","genus","1470793","Insecta","Holometabola","Tenebrionidae","Adesmia","Neoptera","Cucujiformia","Metazoa","Coleoptera",NA,"Arthropoda",NA,NA,"Pterygota","Pimeliinae",NA,NA,"Polyphaga",NA,NA,"Hexapoda","Tenebrionoidea","Eukaryota",NA,NA
61,"Adesmia panderi","genus","1470793","Insecta","Holometabola","Tenebrionidae","Adesmia","Neoptera","Cucujiformia","Metazoa","Coleoptera",NA,"Arthropoda",NA,NA,"Pterygota","Pimeliinae",NA,NA,"Polyphaga",NA,NA,"Hexapoda","Tenebrionoidea","Eukaryota",NA,NA
62,"Adoristes poppei","species","229811","Arachnida",NA,"Liacaridae","Adoristes",NA,NA,"Metazoa","Oribatida",NA,"Arthropoda","Adoristes poppei",NA,"Acari",NA,NA,NA,"Brachypylina","Chelicerata",NA,NA,"Gustavioidea","Eukaryota","Acariformes",NA
63,"Aechmophorus occidentalis","species","57236","Aves",NA,"Podicipedidae","Aechmophorus",NA,NA,"Metazoa","Podicipediformes",NA,"Chordata","Aechmophorus occidentalis",NA,NA,NA,NA,NA,NA,"Craniata",NA,NA,NA,"Eukaryota","Neognathae",NA
64,"Aeginina longicornis","species","398845","Malacostraca",NA,"Caprellidae","Aeginina",NA,"Corophiida","Metazoa","Amphipoda","Caprellidira","Arthropoda","Aeginina longicornis",NA,"Eumalacostraca",NA,NA,NA,"Senticaudata","Crustacea",NA,NA,"Caprelloidea","Eukaryota","Peracarida",NA
65,"Aegolius acadicus","species","56265","Aves",NA,"Strigidae","Aegolius",NA,NA,"Metazoa","Strigiformes",NA,"Chordata","Aegolius acadicus",NA,NA,NA,NA,NA,NA,"Craniata",NA,NA,NA,"Eukaryota","Neognathae",NA
66,"Aepyceros melampus","species","9897","Mammalia",NA,"Bovidae","Aepyceros",NA,"Pecora","Metazoa","Laurasiatheria",NA,"Chordata","Aepyceros melampus",NA,NA,"Aepycerotinae",NA,NA,"Ruminantia","Craniata",NA,NA,NA,"Eukaryota","Laurasiatheria",NA
67,"Aeropedellus clavatus","species","355363","Insecta","Polyneoptera","Acrididae","Aeropedellus","Neoptera","Acrididea","Metazoa","Orthoptera",NA,"Arthropoda","Aeropedellus clavatus",NA,"Pterygota","Gomphocerinae",NA,NA,"Caelifera",NA,NA,"Hexapoda","Acridoidea","Eukaryota",NA,NA
69,"Aetobatus flagellum","species","420948","Chondrichthyes",NA,"Myliobatidae","Aetobatus",NA,NA,"Metazoa","Myliobatiformes",NA,"Chordata","Aetobatus flagellum",NA,"Elasmobranchii","Myliobatinae",NA,NA,NA,"Craniata",NA,NA,NA,"Eukaryota","Batoidea",NA
70,"Aetobatus narinari","species","87140","Chondrichthyes",NA,"Myliobatidae","Aetobatus",NA,NA,"Metazoa","Myliobatiformes",NA,"Chordata","Aetobatus narinari",NA,"Elasmobranchii","Myliobatinae",NA,NA,NA,"Craniata",NA,NA,NA,"Eukaryota","Batoidea",NA
71,"Aetomylaeus nichofii","species","495821","Chondrichthyes",NA,"Myliobatidae","Aetomylaeus",NA,NA,"Metazoa","Myliobatiformes",NA,"Chordata","Aetomylaeus nichofii",NA,"Elasmobranchii","Myliobatinae",NA,NA,NA,"Craniata",NA,NA,NA,"Eukaryota","Batoidea",NA
73,"Agama agama","species","103336","Craniata",NA,"Agamidae","Agama",NA,NA,"Metazoa","Squamata",NA,"Chordata","Agama agama",NA,NA,"Agaminae",NA,NA,"Iguania","Craniata",NA,NA,NA,"Eukaryota","Lepidosauria",NA
74,"Agama bibroni","genus","52207","Craniata",NA,"Agamidae","Agama",NA,NA,"Metazoa","Squamata",NA,"Chordata",NA,NA,NA,"Agaminae",NA,NA,"Iguania","Craniata",NA,NA,NA,"Eukaryota","Lepidosauria",NA
75,"Agama caucasica","genus","52207","Craniata",NA,"Agamidae","Agama",NA,NA,"Metazoa","Squamata",NA,"Chordata",NA,NA,NA,"Agaminae",NA,NA,"Iguania","Craniata",NA,NA,NA,"Eukaryota","Lepidosauria",NA
76,"Agama sanguinoienta","genus","52207","Craniata",NA,"Agamidae","Agama",NA,NA,"Metazoa","Squamata",NA,"Chordata",NA,NA,NA,"Agaminae",NA,NA,"Iguania","Craniata",NA,NA,NA,"Eukaryota","Lepidosauria",NA
77,"Agapornis roseicollis","species","60468","Aves",NA,"Psittacidae","Agapornis",NA,NA,"Metazoa","Psittaciformes",NA,"Chordata","Agapornis roseicollis",NA,NA,NA,NA,NA,NA,"Craniata",NA,NA,NA,"Eukaryota","Neognathae",NA
78,"Agelaius phoeniceus","species","39638","Aves",NA,"Icteridae","Agelaius",NA,NA,"Metazoa","Passeriformes",NA,"Chordata","Agelaius phoeniceus",NA,NA,NA,NA,NA,NA,"Craniata",NA,NA,"Passeroidea","Eukaryota","Neognathae",NA
79,"Agelaius phoenicius","genus","9190","Aves",NA,"Icteridae","Agelaius",NA,NA,"Metazoa","Passeriformes",NA,"Chordata",NA,NA,NA,NA,NA,NA,NA,"Craniata",NA,NA,"Passeroidea","Eukaryota","Neognathae",NA
80,"Agkistrodon piscivorus","species","8715","Craniata",NA,"Viperidae","Agkistrodon",NA,"Serpentes","Metazoa","Squamata",NA,"Chordata","Agkistrodon piscivorus",NA,NA,"Crotalinae",NA,NA,NA,"Craniata",NA,NA,"Colubroidea","Eukaryota","Lepidosauria",NA
81,"Agkistrodon ussuriensis","genus","8711","Craniata",NA,"Viperidae","Agkistrodon",NA,"Serpentes","Metazoa","Squamata",NA,"Chordata",NA,NA,NA,"Crotalinae",NA,NA,NA,"Craniata",NA,NA,"Colubroidea","Eukaryota","Lepidosauria",NA
82,"Aglantha digitale","species","56245","Hydrozoa",NA,"Rhopalonematidae","Aglantha",NA,NA,"Metazoa","Trachymedusae",NA,"Cnidaria","Aglantha digitale",NA,"Trachylinae",NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota",NA,NA
83,"Agonostomus monticola","species","661228","Actinopteri",NA,"Mugilidae","Agonostomus","Teleostei",NA,"Metazoa","Mugiliformes",NA,"Chordata","Agonostomus monticola",NA,"Neopterygii",NA,NA,NA,NA,"Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA
95,"Ailuropoda melanoleuca","species","9646","Mammalia",NA,"Ursidae","Ailuropoda",NA,NA,"Metazoa","Carnivora",NA,"Chordata","Ailuropoda melanoleuca",NA,NA,NA,NA,NA,"Caniformia","Craniata",NA,NA,NA,"Eukaryota","Laurasiatheria",NA
96,"Aiolopus oxyanus","genus","243006","Insecta","Polyneoptera","Acrididae","Aiolopus","Neoptera","Acrididea","Metazoa","Orthoptera",NA,"Arthropoda",NA,NA,"Pterygota","Oedipodinae",NA,NA,"Caelifera",NA,NA,"Hexapoda","Acridoidea","Eukaryota",NA,NA
97,"Aiolopus sp.","genus","243006","Insecta","Polyneoptera","Acrididae","Aiolopus","Neoptera","Acrididea","Metazoa","Orthoptera",NA,"Arthropoda",NA,NA,"Pterygota","Oedipodinae",NA,NA,"Caelifera",NA,NA,"Hexapoda","Acridoidea","Eukaryota",NA,NA
98,"Aiolopus thalassinus","species","243007","Insecta","Polyneoptera","Acrididae","Aiolopus","Neoptera","Acrididea","Metazoa","Orthoptera",NA,"Arthropoda","Aiolopus thalassinus",NA,"Pterygota","Oedipodinae",NA,NA,"Caelifera",NA,NA,"Hexapoda","Acridoidea","Eukaryota",NA,NA
99,"Aix sponsa","species","8833","Aves",NA,"Anatidae","Aix",NA,NA,"Metazoa","Anseriformes",NA,"Chordata","Aix sponsa",NA,NA,NA,NA,NA,NA,"Craniata",NA,NA,NA,"Eukaryota","Neognathae",NA
100,"Akis goryi","genus","744263","Insecta","Holometabola","Tenebrionidae","Akis","Neoptera","Cucujiformia","Metazoa","Coleoptera",NA,"Arthropoda",NA,NA,"Pterygota","Pimeliinae",NA,NA,"Polyphaga",NA,NA,"Hexapoda","Tenebrionoidea","Eukaryota",NA,NA
101,"Akodon azarae","species","29095","Mammalia",NA,"Cricetidae","Akodon",NA,NA,"Metazoa","Rodentia",NA,"Chordata","Akodon azarae",NA,NA,"Sigmodontinae",NA,NA,"Myomorpha","Craniata",NA,NA,NA,"Eukaryota","Euarchontoglires",NA
102,"Akodon boliviensis","species","10072","Mammalia",NA,"Cricetidae","Akodon",NA,NA,"Metazoa","Rodentia",NA,"Chordata","Akodon boliviensis",NA,NA,"Sigmodontinae",NA,NA,"Myomorpha","Craniata",NA,NA,NA,"Eukaryota","Euarchontoglires",NA
103,"Alburnoides bipunctatus","species","58321","Actinopteri",NA,"Cyprinidae","Alburnoides","Teleostei",NA,"Metazoa","Cypriniformes",NA,"Chordata","Alburnoides bipunctatus",NA,"Neopterygii",NA,NA,NA,NA,"Craniata",NA,"Actinopterygii","Cyprinoidea","Eukaryota","Cypriniphysae",NA
104,"Alburnus albidus","species","317898","Actinopteri",NA,"Cyprinidae","Alburnus","Teleostei",NA,"Metazoa","Cypriniformes",NA,"Chordata","Alburnus albidus",NA,"Neopterygii",NA,NA,NA,NA,"Craniata",NA,"Actinopterygii","Cyprinoidea","Eukaryota","Cypriniphysae",NA
105,"Alburnus alburnus","species","54556","Actinopteri",NA,"Cyprinidae","Alburnus","Teleostei",NA,"Metazoa","Cypriniformes",NA,"Chordata","Alburnus alburnus",NA,"Neopterygii",NA,NA,NA,NA,"Craniata",NA,"Actinopterygii","Cyprinoidea","Eukaryota","Cypriniphysae",NA
106,"Alburnus chalcoides","species","155062","Actinopteri",NA,"Cyprinidae","Alburnus","Teleostei",NA,"Metazoa","Cypriniformes",NA,"Chordata","Alburnus chalcoides",NA,"Neopterygii",NA,NA,NA,NA,"Craniata",NA,"Actinopterygii","Cyprinoidea","Eukaryota","Cypriniphysae",NA
107,"Alcedo atthis","species","36245","Aves",NA,"Alcedinidae","Alcedo",NA,NA,"Metazoa","Coraciiformes",NA,"Chordata","Alcedo atthis",NA,NA,NA,NA,NA,NA,"Craniata",NA,NA,NA,"Eukaryota","Neognathae",NA
108,"Alcelaphus buselaphus","species","59517","Mammalia",NA,"Bovidae","Alcelaphus",NA,"Pecora","Metazoa","Laurasiatheria",NA,"Chordata","Alcelaphus buselaphus",NA,NA,"Alcelaphinae",NA,NA,"Ruminantia","Craniata",NA,NA,NA,"Eukaryota","Laurasiatheria",NA
109,"Alcelaphus lelwel","genus","59516","Mammalia",NA,"Bovidae","Alcelaphus",NA,"Pecora","Metazoa","Laurasiatheria",NA,"Chordata",NA,NA,NA,"Alcelaphinae",NA,NA,"Ruminantia","Craniata",NA,NA,NA,"Eukaryota","Laurasiatheria",NA
