"i.vec","sp.query","q.rank","ncbi.ids","class","cohort","family","genus","infraclass","infraorder","kingdom","order","parvorder","phylum","species","species group","subclass","subfamily","subgenus","subkingdom","suborder","subphylum","subtribe","superclass","superfamily","superkingdom","superorder","tribe"
2187,"Myodes rufocanus","species","527686","Mammalia",NA,"Cricetidae","Myodes",NA,NA,"Metazoa","Rodentia",NA,"Chordata","Myodes rufocanus",NA,NA,"Arvicolinae",NA,NA,"Myomorpha","Craniata",NA,NA,NA,"Eukaryota","Euarchontoglires",NA
2188,"Myodes rutilus","species","537920","Mammalia",NA,"Cricetidae","Myodes",NA,NA,"Metazoa","Rodentia",NA,"Chordata","Myodes rutilus",NA,NA,"Arvicolinae",NA,NA,"Myomorpha","Craniata",NA,NA,NA,"Eukaryota","Euarchontoglires",NA
2189,"Myospalax psilurus","species","146129","Mammalia",NA,"Spalacidae","Myospalax",NA,NA,"Metazoa","Rodentia",NA,"Chordata","Myospalax psilurus",NA,NA,"Myospalacinae",NA,NA,"Myomorpha","Craniata",NA,NA,NA,"Eukaryota","Euarchontoglires",NA
2190,"Myotis lucifugus","species","59463","Mammalia",NA,"Vespertilionidae","Myotis",NA,NA,"Metazoa","Chiroptera",NA,"Chordata","Myotis lucifugus",NA,NA,NA,NA,NA,"Microchiroptera","Craniata",NA,NA,NA,"Eukaryota","Laurasiatheria",NA
2191,"Myoxocephalus aenaeus","species","8096","Actinopteri",NA,"Cottidae","Myoxocephalus","Teleostei","Cottales","Metazoa","Perciformes",NA,"Chordata","Myoxocephalus aenaeus",NA,"Neopterygii",NA,NA,NA,"Cottioidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA
2192,"Myoxocephalus brandti","genus","8095","Actinopteri",NA,"Cottidae","Myoxocephalus","Teleostei","Cottales","Metazoa","Perciformes",NA,"Chordata",NA,NA,"Neopterygii",NA,NA,NA,"Cottioidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA
2193,"Myoxocephalus octodecemspinosus","species","68557","Actinopteri",NA,"Cottidae","Myoxocephalus","Teleostei","Cottales","Metazoa","Perciformes",NA,"Chordata","Myoxocephalus octodecemspinosus",NA,"Neopterygii",NA,NA,NA,"Cottioidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA
2194,"Myoxocephalus polyacanthocephalus","species","238839","Actinopteri",NA,"Cottidae","Myoxocephalus","Teleostei","Cottales","Metazoa","Perciformes",NA,"Chordata","Myoxocephalus polyacanthocephalus",NA,"Neopterygii",NA,NA,NA,"Cottioidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA
2195,"Myoxocephalus quadricornis","species","200680","Actinopteri",NA,"Cottidae","Myoxocephalus","Teleostei","Cottales","Metazoa","Perciformes",NA,"Chordata","Myoxocephalus quadricornis",NA,"Neopterygii",NA,NA,NA,"Cottioidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA
2196,"Myoxocephalus scorpioides","species","1911260","Actinopteri",NA,"Cottidae","Myoxocephalus","Teleostei","Cottales","Metazoa","Perciformes",NA,"Chordata","Myoxocephalus scorpioides",NA,"Neopterygii",NA,NA,NA,"Cottioidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA
2197,"Myoxocephalus scorpius","species","8097","Actinopteri",NA,"Cottidae","Myoxocephalus","Teleostei","Cottales","Metazoa","Perciformes",NA,"Chordata","Myoxocephalus scorpius",NA,"Neopterygii",NA,NA,NA,"Cottioidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA
2198,"Myoxocephalus thompsoni","genus","8095","Actinopteri",NA,"Cottidae","Myoxocephalus","Teleostei","Cottales","Metazoa","Perciformes",NA,"Chordata",NA,NA,"Neopterygii",NA,NA,NA,"Cottioidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA
2199,"Mysis mixta","species","349389","Malacostraca",NA,"Mysidae","Mysis",NA,NA,"Metazoa","Mysida",NA,"Arthropoda","Mysis mixta",NA,"Eumalacostraca","Mysinae",NA,NA,NA,"Crustacea",NA,NA,NA,"Eukaryota","Peracarida","Mysini"
2200,"Mysis relicta","species","261864","Malacostraca",NA,"Mysidae","Mysis",NA,NA,"Metazoa","Mysida",NA,"Arthropoda","Mysis relicta",NA,"Eumalacostraca","Mysinae",NA,NA,NA,"Crustacea",NA,NA,NA,"Eukaryota","Peracarida","Mysini"
2201,"Mysis segerstralei","species","324859","Malacostraca",NA,"Mysidae","Mysis",NA,NA,"Metazoa","Mysida",NA,"Arthropoda","Mysis segerstralei",NA,"Eumalacostraca","Mysinae",NA,NA,NA,"Crustacea",NA,NA,NA,"Eukaryota","Peracarida","Mysini"
2202,"Mysis stenolepis","species","349385","Malacostraca",NA,"Mysidae","Mysis",NA,NA,"Metazoa","Mysida",NA,"Arthropoda","Mysis stenolepis",NA,"Eumalacostraca","Mysinae",NA,NA,NA,"Crustacea",NA,NA,NA,"Eukaryota","Peracarida","Mysini"
